TreeDepth,Pid,Process,Base,InLoad,InInit,InMem,MappedPath
0,4,System,0x77b60000,False,False,False,\\Windows\\SysWOW64\\ntdll.dll
0,4,System,0x7ffe77dd0000,False,False,False,\\Windows\\System32\\vertdll.dll
0,4,System,0x7ffe77e10000,False,False,False,\\Windows\\System32\\ntdll.dll
0,308,smss.exe,0x7ffe77e10000,True,True,True,\\Windows\\System32\\ntdll.dll
0,308,smss.exe,0x7ff65a740000,True,False,True,\\Windows\\System32\\smss.exe
0,412,csrss.exe,0x24fe0520000,False,False,False,\\Windows\\System32\\en-US\\csrss.exe.mui
0,412,csrss.exe,0x24fe0530000,False,False,False,\\Windows\\System32\\en-US\\winsrv.dll.mui
0,412,csrss.exe,0x7ffe754f0000,True,True,True,\\Windows\\System32\\winsrv.dll
0,412,csrss.exe,0x7ffe754b0000,True,True,True,\\Windows\\System32\\sxssrv.dll
0,412,csrss.exe,0x7ff627cb0000,True,False,True,\\Windows\\System32\\csrss.exe
0,412,csrss.exe,0x7ffe75280000,True,True,True,\\Windows\\System32\\sxs.dll
0,412,csrss.exe,0x7ffe754c0000,True,True,True,\\Windows\\System32\\winsrvext.dll
0,412,csrss.exe,0x7ffe75c80000,True,True,True,\\Windows\\System32\\gdi32full.dll
0,412,csrss.exe,0x7ffe75760000,True,True,True,\\Windows\\System32\\KernelBase.dll
0,412,csrss.exe,0x7ffe75530000,True,True,True,\\Windows\\System32\\csrsrv.dll
0,412,csrss.exe,0x7ffe75510000,True,True,True,\\Windows\\System32\\basesrv.dll
0,412,csrss.exe,0x7ffe75b50000,True,True,True,\\Windows\\System32\\ucrtbase.dll
0,412,csrss.exe,0x7ffe75a80000,True,True,True,\\Windows\\System32\\msvcp_win.dll
0,412,csrss.exe,0x7ffe75a30000,True,True,True,\\Windows\\System32\\cfgmgr32.dll
0,412,csrss.exe,0x7ffe75c50000,True,True,True,\\Windows\\System32\\win32u.dll
0,412,csrss.exe,0x7ffe77390000,True,True,True,\\Windows\\System32\\kernel32.dll
0,412,csrss.exe,0x7ffe75fd0000,True,True,True,\\Windows\\System32\\user32.dll
0,412,csrss.exe,0x7ffe75df0000,True,True,True,\\Windows\\System32\\bcryptprimitives.dll
0,412,csrss.exe,0x7ffe76690000,True,True,True,\\Windows\\System32\\combase.dll
0,412,csrss.exe,0x7ffe77d00000,True,True,True,\\Windows\\System32\\gdi32.dll
0,412,csrss.exe,0x7ffe77540000,True,True,True,\\Windows\\System32\\rpcrt4.dll
0,412,csrss.exe,0x7ffe77e10000,True,True,True,\\Windows\\System32\\ntdll.dll
0,492,csrss.exe,0x258f9bf0000,False,False,False,\\Windows\\System32\\en-US\\winsrv.dll.mui
0,492,csrss.exe,0x7ffe754f0000,True,True,True,\\Windows\\System32\\winsrv.dll
0,492,csrss.exe,0x7ffe754b0000,True,True,True,\\Windows\\System32\\sxssrv.dll
0,492,csrss.exe,0x7ff627cb0000,True,False,True,\\Windows\\System32\\csrss.exe
0,492,csrss.exe,0x7ffe75280000,True,True,True,\\Windows\\System32\\sxs.dll
0,492,csrss.exe,0x7ffe754c0000,True,True,True,\\Windows\\System32\\winsrvext.dll
0,492,csrss.exe,0x7ffe75c80000,True,True,True,\\Windows\\System32\\gdi32full.dll
0,492,csrss.exe,0x7ffe75760000,True,True,True,\\Windows\\System32\\KernelBase.dll
0,492,csrss.exe,0x7ffe75530000,True,True,True,\\Windows\\System32\\csrsrv.dll
0,492,csrss.exe,0x7ffe75510000,True,True,True,\\Windows\\System32\\basesrv.dll
0,492,csrss.exe,0x7ffe75b50000,True,True,True,\\Windows\\System32\\ucrtbase.dll
0,492,csrss.exe,0x7ffe75a80000,True,True,True,\\Windows\\System32\\msvcp_win.dll
0,492,csrss.exe,0x7ffe75a30000,True,True,True,\\Windows\\System32\\cfgmgr32.dll
0,492,csrss.exe,0x7ffe75c50000,True,True,True,\\Windows\\System32\\win32u.dll
0,492,csrss.exe,0x7ffe77390000,True,True,True,\\Windows\\System32\\kernel32.dll
0,492,csrss.exe,0x7ffe75fd0000,True,True,True,\\Windows\\System32\\user32.dll
0,492,csrss.exe,0x7ffe75df0000,True,True,True,\\Windows\\System32\\bcryptprimitives.dll
0,492,csrss.exe,0x7ffe76690000,True,True,True,\\Windows\\System32\\combase.dll
0,492,csrss.exe,0x7ffe77d00000,True,True,True,\\Windows\\System32\\gdi32.dll
0,492,csrss.exe,0x7ffe77540000,True,True,True,\\Windows\\System32\\rpcrt4.dll
0,492,csrss.exe,0x7ffe77e10000,True,True,True,\\Windows\\System32\\ntdll.dll
0,504,wininit.exe,0x29397480000,False,False,False,\\Windows\\System32\\en-US\\user32.dll.mui
0,504,wininit.exe,0x7ffe75ea0000,True,True,True,\\Windows\\System32\\advapi32.dll
0,504,wininit.exe,0x7ffe75760000,True,True,True,\\Windows\\System32\\KernelBase.dll
0,504,wininit.exe,0x7ffe74960000,True,True,True,\\Windows\\System32\\IPHLPAPI.DLL
0,504,wininit.exe,0x7ffe74290000,True,True,True,\\Windows\\System32\\ntmarta.dll
0,504,wininit.exe,0x7ffe741c0000,True,True,True,\\Windows\\System32\\fwbase.dll
0,504,wininit.exe,0x7ff66bca0000,True,False,True,\\Windows\\System32\\wininit.exe
0,504,wininit.exe,0x7ffe741f0000,True,True,True,\\Windows\\System32\\FirewallAPI.dll
0,504,wininit.exe,0x7ffe74310000,True,True,True,\\Windows\\System32\\profext.dll
0,504,wininit.exe,0x7ffe75400000,True,True,True,\\Windows\\System32\\sspicli.dll
0,504,wininit.exe,0x7ffe749a0000,True,True,True,\\Windows\\System32\\dnsapi.dll
0,504,wininit.exe,0x7ffe74c70000,True,True,True,\\Windows\\System32\\mswsock.dll
0,504,wininit.exe,0x7ffe75470000,True,True,True,\\Windows\\System32\\wininitext.dll
0,504,wininit.exe,0x7ffe75440000,True,True,True,\\Windows\\System32\\userenv.dll
0,504,wininit.exe,0x7ffe75480000,True,True,True,\\Windows\\System32\\profapi.dll
0,504,wininit.exe,0x7ffe75c50000,True,True,True,\\Windows\\System32\\win32u.dll
0,504,wininit.exe,0x7ffe75b20000,True,True,True,\\Windows\\System32\\bcrypt.dll
0,504,wininit.exe,0x7ffe75a80000,True,True,True,\\Windows\\System32\\msvcp_win.dll
0,504,wininit.exe,0x7ffe75b50000,True,True,True,\\Windows\\System32\\ucrtbase.dll
0,504,wininit.exe,0x7ffe75c80000,True,True,True,\\Windows\\System32\\gdi32full.dll
0,504,wininit.exe,0x7ffe75df0000,True,True,True,\\Windows\\System32\\bcryptprimitives.dll
0,504,wininit.exe,0x7ffe77390000,True,True,True,\\Windows\\System32\\kernel32.dll
0,504,wininit.exe,0x7ffe76690000,True,True,True,\\Windows\\System32\\combase.dll
0,504,wininit.exe,0x7ffe75fd0000,True,True,True,\\Windows\\System32\\user32.dll
0,504,wininit.exe,0x7ffe763b0000,True,True,True,\\Windows\\System32\\nsi.dll
0,504,wininit.exe,0x7ffe77170000,True,True,True,\\Windows\\System32\\sechost.dll
0,504,wininit.exe,0x7ffe77210000,True,True,True,\\Windows\\System32\\ws2_32.dll
0,504,wininit.exe,0x7ffe77d30000,True,True,True,\\Windows\\System32\\msvcrt.dll
0,504,wininit.exe,0x7ffe77540000,True,True,True,\\Windows\\System32\\rpcrt4.dll
0,504,wininit.exe,0x7ffe77d00000,True,True,True,\\Windows\\System32\\gdi32.dll
0,504,wininit.exe,0x7ffe77e10000,True,True,True,\\Windows\\System32\\ntdll.dll
0,560,winlogon.exe,0x225244d0000,False,False,False,\\Windows\\System32\\en-US\\user32.dll.mui
0,560,winlogon.exe,0x7ffe75b50000,True,True,True,\\Windows\\System32\\ucrtbase.dll
0,560,winlogon.exe,0x7ffe753b0000,True,True,True,\\Windows\\System32\\powrprof.dll
