TreeDepth,PID,Process,Base,Size,Name,Path,LoadCount,LoadTime,File output
0,308,smss.exe,0x7ff65a740000,0x28000,smss.exe,\\SystemRoot\\System32\\smss.exe,-1,2026-03-06 03:25:41.000000 UTC,Disabled
0,308,smss.exe,0x7ffe77e10000,0x1f6000,ntdll.dll,C:\\Windows\\SYSTEM32\\ntdll.dll,-1,2026-03-06 03:25:41.000000 UTC,Disabled
0,412,csrss.exe,0x7ff627cb0000,0x7000,csrss.exe,C:\\Windows\\system32\\csrss.exe,-1,2026-03-06 03:25:45.000000 UTC,Disabled
0,412,csrss.exe,0x7ffe77e10000,0x1f6000,ntdll.dll,C:\\Windows\\SYSTEM32\\ntdll.dll,-1,2026-03-06 03:25:45.000000 UTC,Disabled
0,412,csrss.exe,0x7ffe75530000,0x18000,CSRSRV.dll,C:\\Windows\\SYSTEM32\\CSRSRV.dll,6,2026-03-06 03:25:45.000000 UTC,Disabled
0,412,csrss.exe,0x7ffe75510000,0x16000,basesrv.DLL,C:\\Windows\\system32\\basesrv.DLL,6,2026-03-06 03:25:45.000000 UTC,Disabled
0,412,csrss.exe,0x7ffe754f0000,0x15000,winsrv.DLL,C:\\Windows\\system32\\winsrv.DLL,6,2026-03-06 03:25:45.000000 UTC,Disabled
0,412,csrss.exe,0x7ffe75760000,0x2c8000,kernelbase.dll,C:\\Windows\\System32\\kernelbase.dll,-1,2026-03-06 03:25:45.000000 UTC,Disabled
0,412,csrss.exe,0x7ffe77390000,0xbd000,kernel32.dll,C:\\Windows\\System32\\kernel32.dll,-1,2026-03-06 03:25:45.000000 UTC,Disabled
0,412,csrss.exe,0x7ffe754c0000,0x23000,winsrvext.dll,C:\\Windows\\SYSTEM32\\winsrvext.dll,6,2026-03-06 03:25:45.000000 UTC,Disabled
0,412,csrss.exe,0x7ffe75fd0000,0x1a0000,USER32.dll,C:\\Windows\\System32\\USER32.dll,6,2026-03-06 03:25:45.000000 UTC,Disabled
0,412,csrss.exe,0x7ffe75c50000,0x22000,win32u.dll,C:\\Windows\\System32\\win32u.dll,6,2026-03-06 03:25:45.000000 UTC,Disabled
0,412,csrss.exe,0x7ffe77d00000,0x2a000,GDI32.dll,C:\\Windows\\System32\\GDI32.dll,6,2026-03-06 03:25:45.000000 UTC,Disabled
0,412,csrss.exe,0x7ffe75c80000,0x109000,gdi32full.dll,C:\\Windows\\System32\\gdi32full.dll,6,2026-03-06 03:25:45.000000 UTC,Disabled
0,412,csrss.exe,0x7ffe75a80000,0x9d000,msvcp_win.dll,C:\\Windows\\System32\\msvcp_win.dll,6,2026-03-06 03:25:45.000000 UTC,Disabled
0,412,csrss.exe,0x7ffe75b50000,0x100000,ucrtbase.dll,C:\\Windows\\System32\\ucrtbase.dll,6,2026-03-06 03:25:45.000000 UTC,Disabled
0,412,csrss.exe,0x7ffe76690000,0x355000,combase.dll,C:\\Windows\\System32\\combase.dll,6,2026-03-06 03:25:45.000000 UTC,Disabled
0,412,csrss.exe,0x7ffe77540000,0x124000,RPCRT4.dll,C:\\Windows\\System32\\RPCRT4.dll,6,2026-03-06 03:25:45.000000 UTC,Disabled
0,412,csrss.exe,0x7ffe75a30000,0x4e000,cfgmgr32.dll,C:\\Windows\\System32\\cfgmgr32.dll,6,2026-03-06 03:25:45.000000 UTC,Disabled
0,412,csrss.exe,0x7ffe754b0000,0xe000,sxssrv.DLL,C:\\Windows\\system32\\sxssrv.DLL,6,2026-03-06 03:25:45.000000 UTC,Disabled
0,412,csrss.exe,0x7ffe75280000,0xa2000,sxs.dll,C:\\Windows\\system32\\sxs.dll,6,2026-03-06 03:25:46.000000 UTC,Disabled
0,412,csrss.exe,0x7ffe75df0000,0x7f000,bcryptPrimitives.dll,C:\\Windows\\System32\\bcryptPrimitives.dll,-1,2026-03-06 03:25:46.000000 UTC,Disabled
0,492,csrss.exe,0x7ff627cb0000,0x7000,csrss.exe,C:\\Windows\\system32\\csrss.exe,-1,2026-03-06 03:25:45.000000 UTC,Disabled
0,492,csrss.exe,0x7ffe77e10000,0x1f6000,ntdll.dll,C:\\Windows\\SYSTEM32\\ntdll.dll,-1,2026-03-06 03:25:45.000000 UTC,Disabled
0,492,csrss.exe,0x7ffe75530000,0x18000,CSRSRV.dll,C:\\Windows\\SYSTEM32\\CSRSRV.dll,6,2026-03-06 03:25:45.000000 UTC,Disabled
0,492,csrss.exe,0x7ffe75510000,0x16000,basesrv.DLL,C:\\Windows\\system32\\basesrv.DLL,6,2026-03-06 03:25:45.000000 UTC,Disabled
0,492,csrss.exe,0x7ffe754f0000,0x15000,winsrv.DLL,C:\\Windows\\system32\\winsrv.DLL,6,2026-03-06 03:25:45.000000 UTC,Disabled
0,492,csrss.exe,0x7ffe75760000,0x2c8000,kernelbase.dll,C:\\Windows\\System32\\kernelbase.dll,-1,2026-03-06 03:25:45.000000 UTC,Disabled
0,492,csrss.exe,0x7ffe77390000,0xbd000,kernel32.dll,C:\\Windows\\System32\\kernel32.dll,-1,2026-03-06 03:25:45.000000 UTC,Disabled
0,492,csrss.exe,0x7ffe754c0000,0x23000,winsrvext.dll,C:\\Windows\\SYSTEM32\\winsrvext.dll,6,2026-03-06 03:25:45.000000 UTC,Disabled
0,492,csrss.exe,0x7ffe75fd0000,0x1a0000,USER32.dll,C:\\Windows\\System32\\USER32.dll,6,2026-03-06 03:25:45.000000 UTC,Disabled
0,492,csrss.exe,0x7ffe75c50000,0x22000,win32u.dll,C:\\Windows\\System32\\win32u.dll,6,2026-03-06 03:25:45.000000 UTC,Disabled
0,492,csrss.exe,0x7ffe77d00000,0x2a000,GDI32.dll,C:\\Windows\\System32\\GDI32.dll,6,2026-03-06 03:25:45.000000 UTC,Disabled
0,492,csrss.exe,0x7ffe75c80000,0x109000,gdi32full.dll,C:\\Windows\\System32\\gdi32full.dll,6,2026-03-06 03:25:45.000000 UTC,Disabled
0,492,csrss.exe,0x7ffe75a80000,0x9d000,msvcp_win.dll,C:\\Windows\\System32\\msvcp_win.dll,6,2026-03-06 03:25:45.000000 UTC,Disabled
0,492,csrss.exe,0x7ffe75b50000,0x100000,ucrtbase.dll,C:\\Windows\\System32\\ucrtbase.dll,6,2026-03-06 03:25:45.000000 UTC,Disabled
0,492,csrss.exe,0x7ffe76690000,0x355000,combase.dll,C:\\Windows\\System32\\combase.dll,6,2026-03-06 03:25:45.000000 UTC,Disabled
0,492,csrss.exe,0x7ffe77540000,0x124000,RPCRT4.dll,C:\\Windows\\System32\\RPCRT4.dll,6,2026-03-06 03:25:45.000000 UTC,Disabled
0,492,csrss.exe,0x7ffe75a30000,0x4e000,cfgmgr32.dll,C:\\Windows\\System32\\cfgmgr32.dll,6,2026-03-06 03:25:45.000000 UTC,Disabled
0,492,csrss.exe,0x7ffe754b0000,0xe000,sxssrv.DLL,C:\\Windows\\system32\\sxssrv.DLL,6,2026-03-06 03:25:45.000000 UTC,Disabled
0,492,csrss.exe,0x7ffe75280000,0xa2000,sxs.dll,C:\\Windows\\system32\\sxs.dll,6,2026-03-06 03:25:47.000000 UTC,Disabled
0,492,csrss.exe,0x7ffe75df0000,0x7f000,bcryptPrimitives.dll,C:\\Windows\\System32\\bcryptPrimitives.dll,-1,2026-03-06 03:25:47.000000 UTC,Disabled
0,504,wininit.exe,0x7ff66bca0000,0x69000,wininit.exe,C:\\Windows\\system32\\wininit.exe,-1,2026-03-06 03:25:45.000000 UTC,Disabled
0,504,wininit.exe,0x7ffe77e10000,0x1f6000,ntdll.dll,C:\\Windows\\SYSTEM32\\ntdll.dll,-1,2026-03-06 03:25:45.000000 UTC,Disabled
