TreeDepth,PID,Process,Offset,HandleValue,Type,GrantedAccess,Name
0,4,System,0xbe884cc98040,0x4,Process,0x1fffff,System Pid 4
0,4,System,0xbe884cdcb140,0x8,Thread,0x1fffff,Tid 28 Pid 4
0,4,System,0xbe884cc761e0,0xc,Mutant,0x1f0001,BcdSyncMutant
0,4,System,0xe48731683280,0x10,Directory,0xf000f,-
0,4,System,0xe48731640830,0x14,Directory,0xf000f,GLOBAL??
0,4,System,0xbe884ccaec00,0x18,Partition,0x1f0003,MemoryPartition0
0,4,System,0xe48731683540,0x1c,Directory,0xf000f,KernelObjects
0,4,System,0xbe884ccb3f20,0x20,Event,0x1f0003,LowPagedPoolCondition
0,4,System,0xbe884ccb39a0,0x24,Event,0x1f0003,HighPagedPoolCondition
0,4,System,0xbe884ccb3120,0x28,Event,0x1f0003,LowNonPagedPoolCondition
0,4,System,0xbe884ccb3d20,0x2c,Event,0x1f0003,HighNonPagedPoolCondition
0,4,System,0xbe884ccb34a0,0x30,Event,0x1f0003,LowMemoryCondition
0,4,System,0xbe884ccb3220,0x34,Event,0x1f0003,HighMemoryCondition
0,4,System,0xbe884ccb3720,0x38,Event,0x1f0003,LowCommitCondition
0,4,System,0xbe884ccb35a0,0x3c,Event,0x1f0003,HighCommitCondition
0,4,System,0xbe884ccb3620,0x40,Event,0x1f0003,MaximumCommitCondition
0,4,System,0xbe884ccb3a20,0x44,Event,0x1f0003,MemoryErrors
0,4,System,0xbe884ccb3da0,0x48,Event,0x1f0003,PhysicalMemoryChange
0,4,System,0xbe884ccf0080,0x4c,Thread,0x1fffff,Tid 76 Pid 4
0,4,System,0xbe884cccb080,0x50,Process,0x1fffff,Registry Pid 92
0,4,System,0xe487317042d0,0x54,Key,0x2001f,MACHINE\\SYSTEM\\CONTROLSET001\\CONTROL\\HIVELIST
0,4,System,0xbe884e2e4040,0x58,Process,0x102a,smss.exe Pid 308
0,4,System,0xe4873164fb20,0x5c,Key,0x0,-
0,4,System,0xbe884db215d0,0x60,WaitCompletionPacket,0x1,-
0,4,System,0xe48731705e70,0x64,Key,0x20019,MACHINE\\SYSTEM\\CONTROLSET001\\CONTROL\\LEAPSECONDINFORMATION
0,4,System,0xe48731704e80,0x68,Key,0x20019,MACHINE\\SYSTEM\\CONTROLSET001\\CONTROL\\NOTIFICATIONS
0,4,System,0xe487317052c0,0x6c,Key,0xf003f,MACHINE\\SYSTEM\\CONTROLSET001\\CONTROL\\SESSION MANAGER\\MEMORY MANAGEMENT\\PREFETCHPARAMETERS
0,4,System,0xe487317053d0,0x70,Key,0x20019,MACHINE\\SYSTEM\\CONTROLSET001
0,4,System,0xe48731704b50,0x74,Key,0x2001f,MACHINE\\SYSTEM\\SETUP
0,4,System,0xe4873171fdb0,0x78,Key,0xf003f,MACHINE\\SYSTEM\\CONTROLSET001
0,4,System,0xbe884cd35df0,0x7c,ALPC Port,0x1f0001,PowerMonitorPort
0,4,System,0xe48731704930,0x80,Key,0x11,MACHINE\\SYSTEM\\CONTROLSET001\\CONTROL\\POWER
0,4,System,0xbe884cd9bdf0,0x84,ALPC Port,0x1f0001,PowerPort
0,4,System,0xe4873171f540,0x88,Key,0xf003f,USER
0,4,System,0xe48731705d60,0x8c,Key,0xf003f,MACHINE\\SYSTEM\\DRIVERDATABASE
0,4,System,0xe4873171f450,0x90,Key,0xf003f,MACHINE\\SYSTEM
0,4,System,0xbe884ccad510,0x94,Event,0x1f0003,-
0,4,System,0xe487317041c0,0x98,Key,0xf003f,MACHINE\\SYSTEM\\CONTROLSET001\\ENUM
0,4,System,0xe48731732b40,0x9c,Key,0xf003f,MACHINE\\SYSTEM\\CONTROLSET001\\CONTROL\\DEVICECLASSES
0,4,System,0xe487317dceb0,0xa0,Key,0xf003f,MACHINE\\SYSTEM\\CONTROLSET001\\CONTROL\\DEVICECLASSES
0,4,System,0xe487317314f0,0xa4,Key,0xf003f,MACHINE\\SYSTEM\\CONTROLSET001\\CONTROL\\DEVICECONTAINERS
0,4,System,0xe48731731a40,0xa8,Key,0xf003f,MACHINE\\SYSTEM\\CONTROLSET001\\CONTROL\\CLASS
0,4,System,0xe48731732920,0xac,Key,0xf003f,MACHINE\\SYSTEM\\CONTROLSET001\\CONTROL\\DEVICEPANELS
0,4,System,0xe487317313e0,0xb0,Key,0xf003f,MACHINE\\SYSTEM\\CONTROLSET001\\SERVICES
0,4,System,0xe48731731600,0xb4,Key,0xf003f,MACHINE\\SYSTEM\\HARDWARECONFIG
0,4,System,0xe487317311c0,0xb8,Key,0xf003f,MACHINE\\SYSTEM\\DRIVERDATABASE\\DRIVERINFFILES
0,4,System,0xe487317dd450,0xbc,Key,0xf003f,MACHINE\\SYSTEM\\CONTROLSET001\\HARDWARE PROFILES
0,4,System,0xe4873400b740,0xc0,SymbolicLink,0xf0001,ACPI#VMW0001#7#{3ff2c92b-6598-4e60-8e1c-0ccf4927e319}
0,4,System,0xe487317321b0,0xc4,Key,0xf003f,MACHINE\\SYSTEM\\DRIVERDATABASE\\DRIVERPACKAGES
0,4,System,0xe48731731d70,0xc8,Key,0x20019,MACHINE\\SYSTEM\\CONTROLSET001\\CONTROL\\WMI\\SECURITY
0,4,System,0xe48731732a30,0xcc,Key,0xf003f,MACHINE\\SYSTEM\\DRIVERDATABASE\\DEVICEIDS
0,4,System,0xe48731732d60,0xd0,Key,0xf003f,MACHINE\\SYSTEM\\HARDWARECONFIG\\{EADC4D56-3717-32CA-E081-079C492C967A}\\PRODUCTIDS
0,4,System,0xe48731a87890,0xd4,SymbolicLink,0xf0001,ACPI#FixedButton#2&daba3ff&1#{4afa3d53-74a7-11d0-be5e-00a0c9062857}
0,4,System,0xe4873400adb0,0xd8,SymbolicLink,0xf0001,ACPI#GenuineIntel_-_Intel64_Family_6_Model_158_-_Intel(R)_Core(TM)_i7-8700K_CPU_@_3.70GHz#_0#{97fadb10-4e33-40ae-359c-8bef029dbdd0}
0,4,System,0xe48731a8b080,0xdc,Token,0xe,-
0,4,System,0xe487317dd630,0xe0,Key,0x10,MACHINE\\SYSTEM\\CONTROLSET001\\CONTROL\\STORPORT
0,4,System,0xe48731731e80,0xe4,Key,0xf003f,MACHINE\\SYSTEM\\RNG
0,4,System,0xe48731b875c0,0xe8,SymbolicLink,0xf0001,ROOT#vdrvroot#0000#{2e34d650-5819-42ca-84ae-d30803bae505}
0,4,System,0xe48731b88460,0xec,SymbolicLink,0xf0001,PCIIDE#IDEChannel#4&39ec5d8a&0&0#{2accfe60-c130-11d2-b082-00a0c91efb8b}
0,4,System,0xe48731bf5930,0xf0,Key,0xf003f,MACHINE\\HARDWARE\\DEVICEMAP\\SCSI\\SCSI PORT 2\\SCSI BUS 0
0,4,System,0xe48731b87410,0xf4,SymbolicLink,0xf0001,ROOT#spaceport#0000#{53f5630e-b6bf-11d0-94f2-00a0c91efb8b}
0,4,System,0xe487317325f0,0xf8,Key,0xf003f,MACHINE\\SYSTEM\\CONTROLSET001\\CONTROL\\CODEVICEINSTALLERS
0,4,System,0xbe884d2cbd30,0xfc,ALPC Port,0x1f0001,PdcPort
0,4,System,0xe48731bde3c0,0x100,Key,0x8,MACHINE\\SYSTEM\\CONTROLSET001\\CONTROL\\POWER\\PROFILE\\EVENTS\\{54533251-82BE-4824-96C1-47B60B740D00}\\{0AABB002-A307-447E-9B81-1D819DF6C6D0}\\{CE74AA52-A71A-4036-BEEF-B6C411010E28}
0,4,System,0xe48731bc45f0,0x104,Key,0x8,MACHINE\\SYSTEM\\CONTROLSET001\\CONTROL\\POWER\\PROFILE\\EVENTS\\{54533251-82BE-4824-96C1-47B60B740D00}\\{0DA965DC-8FCF-4C0B-8EFE-8DD5E7BC959A}\\{7E01ADEF-81E6-4E1B-8075-56F373584694}
0,4,System,0xe48731bf5b50,0x108,Key,0x8,MACHINE\\SYSTEM\\CONTROLSET001\\CONTROL\\POWER\\PROFILE\\EVENTS\\{54533251-82BE-4824-96C1-47B60B740D00}\\{8BC6262C-C026-411D-AE3B-7E2F70811A13}\\{C072EEBB-1955-4FA9-B4BA-421E96E1D674}
0,4,System,0xe48731bf50b0,0x10c,Key,0x8,MACHINE\\SYSTEM\\CONTROLSET001\\CONTROL\\POWER\\PROFILE\\EVENTS\\{54533251-82BE-4824-96C1-47B60B740D00}\\{D4140C81-EBBA-4E60-8561-6918290359CD}\\{35037BB4-9528-481D-8CB2-8FCC63A9DD81}
0,4,System,0xe48731bf4610,0x110,Key,0x8,MACHINE\\SYSTEM\\CONTROLSET001\\CONTROL\\POWER\\PROFILE\\EVENTS\\{54533251-82BE-4824-96C1-47B60B740D00}\\{EE1E4F72-E368-46B1-B3C6-5048B11C2DBD}\\{9C1F0DBA-33E9-43AF-9EDA-A607AA5139DA}
0,4,System,0xbe884d2d0040,0x114,Thread,0x1fffff,Tid 240 Pid 4
0,4,System,0xe48731b87f50,0x118,SymbolicLink,0xf0001,ROOT#spaceport#0000#{ef66a56f-88d1-4cd8-98c4-49faf57ad8af}
0,4,System,0xe48731cf9c70,0x11c,Key,0x10,MACHINE\\SYSTEM\\CONTROLSET001\\SERVICES\\SWENUM\\NOTIFY
0,4,System,0xe4873400c430,0x120,SymbolicLink,0xf0001,ACPI#GenuineIntel_-_Intel64_Family_6_Model_158_-_Intel(R)_Core(TM)_i7-8700K_CPU_@_3.70GHz#_1#{97fadb10-4e33-40ae-359c-8bef029dbdd0}
0,4,System,0xbe884e2e4040,0x124,Process,0x1fffff,smss.exe Pid 308
0,4,System,0xbe884e2e4040,0x128,Process,0x102a,smss.exe Pid 308
0,4,System,0xe48731f1bcc0,0x12c,Key,0x10,MACHINE\\SYSTEM\\CONTROLSET001\\CONTROL\\FILESYSTEM
0,4,System,0xe4873400c310,0x130,SymbolicLink,0xf0001,SCSI#CdRom&Ven_NECVMWar&Prod_VMware_SATA_CD01#5&36c0e7d6&0&010000#{53f5630d-b6bf-11d0-94f2-00a0c91efb8b}
0,4,System,0xbe884d993040,0x134,Thread,0x1fffff,Tid 288 Pid 4
0,4,System,0xe48731cb34c0,0x138,Section,0x6,-
0,4,System,0xe48731bf6d60,0x13c,Key,0xf003f,MACHINE\\SYSTEM\\CONTROLSET001\\SERVICES\\BAM\\STATE\\USERSETTINGS
0,4,System,0xe4873400bbc0,0x140,SymbolicLink,0xf0001,ROOT#SYSTEM#0000#{3c0d501a-140b-11d1-b40f-00a0c9223196}
0,4,System,0xe487317044f0,0x144,Key,0x10,MACHINE\\SYSTEM\\CONTROLSET001\\SERVICES\\DFSC\\PARAMETERS
0,4,System,0xbe884ec99b60,0x148,File,0x20003,\\Device\\HarddiskVolume3\\Windows\\System32\\config\\SECURITY
0,4,System,0xe4873400a930,0x14c,SymbolicLink,0xf0001,PCI#VEN_15AD&DEV_0774&SUBSYS_197615AD&REV_00#4&b70f118&0&0088#{3abf6f2d-71c4-462a-8a92-1e6861e6af27}
0,4,System,0xe48731cfac60,0x150,Key,0x10,MACHINE\\SYSTEM\\CONTROLSET001\\CONTROL\\LSA
0,4,System,0xe48731f1a190,0x154,Key,0x20019,MACHINE\\SYSTEM\\CONTROLSET001\\CONTROL
0,4,System,0xe48731f1adc0,0x158,Key,0x20019,MACHINE\\SYSTEM\\CONTROLSET001\\CONTROL
0,4,System,0xe4873400bb30,0x15c,SymbolicLink,0xf0001,ACPI#VMW0003#4&25ee97c0&0#{378de44c-56ef-11d1-bc8c-00a0c91405dd}
0,4,System,0xe4873400a6f0,0x160,SymbolicLink,0xf0001,PCI#VEN_15AD&DEV_0770&SUBSYS_077015AD&REV_00#4&b70f118&0&1088#{3abf6f2d-71c4-462a-8a92-1e6861e6af27}
0,4,System,0xbe884d976dc0,0x164,ALPC Port,0x1f0001,SeRmCommandPort
0,4,System,0xe48731bf6810,0x168,Key,0x2001f,MACHINE\\SYSTEM\\CONTROLSET001\\SERVICES\\VWIFIFLT\\STATE\\PARAMETERS\\VWIFISETTINGS
0,4,System,0xe48731f1b630,0x16c,Key,0x20019,MACHINE\\SYSTEM\\CONTROLSET001\\CONTROL
0,4,System,0xe4873400bf20,0x170,SymbolicLink,0xf0001,SCSI#CdRom&Ven_NECVMWar&Prod_VMware_SATA_CD01#5&36c0e7d6&0&010000#{53f56308-b6bf-11d0-94f2-00a0c91efb8b}
0,4,System,0xbe884e2e4040,0x174,Process,0x102a,smss.exe Pid 308
0,4,System,0xbe884d84cee0,0x178,Event,0x1f0003,-
0,4,System,0xe487316e65a0,0x17c,Directory,0xf000f,cimfs
0,4,System,0xe4873b93d620,0x180,Key,0x11,MACHINE\\SYSTEM\\CONTROLSET001\\CONTROL\\KERNELVELOCITY
0,4,System,0xe4873400bfb0,0x184,SymbolicLink,0xf0001,ACPI#GenuineIntel_-_Intel64_Family_6_Model_158_-_Intel(R)_Core(TM)_i7-8700K_CPU_@_3.70GHz#_0#{dbe4373d-3c81-40cb-ace4-e0e5d05f0c9f}
0,4,System,0xe48731cfca20,0x188,Key,0xf003f,MACHINE\\SYSTEM\\CONTROLSET001\\CONTROL\\{7746D80F-97E0-4E26-9543-26B41FC22F79}\\{A25AE4F2-1B96-4CED-8007-AA30E9B1A218}
0,4,System,0xe48731cfc4d0,0x18c,Key,0xf003f,MACHINE\\SYSTEM\\CONTROLSET001\\CONTROL\\{7746D80F-97E0-4E26-9543-26B41FC22F79}\\{D73E01AC-F5A0-4D80-928B-33C1920C38BA}
0,4,System,0xe48731cfc910,0x190,Key,0xf003f,MACHINE\\SYSTEM\\CONTROLSET001\\CONTROL\\{7746D80F-97E0-4E26-9543-26B41FC22F79}\\{59AEE675-B203-4D61-9A1F-04518A20F359}
0,4,System,0xe48731cfb920,0x194,Key,0xf003f,MACHINE\\SYSTEM\\CONTROLSET001\\CONTROL\\{7746D80F-97E0-4E26-9543-26B41FC22F79}\\{FB9F5B62-B48B-45F5-8586-E514958C92E2}
0,4,System,0xe4873400c1f0,0x198,SymbolicLink,0xf0001,ROOT#UMBUS#0000#{65a9a6cf-64cd-480b-843e-32c86e1ba19f}
0,4,System,0xe48731f1aeb0,0x19c,Key,0x20019,MACHINE\\SYSTEM\\CONTROLSET001\\CONTROL\\POWER
0,4,System,0xe4873c1fe560,0x1a0,Directory,0x4,WindowStations
0,4,System,0xe4873400c0d0,0x1a4,SymbolicLink,0xf0001,ROOT#SYSTEM#0000#{4747b320-62ce-11cf-a5d6-28db04c10000}
0,4,System,0xe48731cfcc40,0x1a8,Key,0xf003f,MACHINE\\SYSTEM\\CONTROLSET001\\CONTROL\\{7746D80F-97E0-4E26-9543-26B41FC22F79}\\{221601AB-48C7-4970-B0EC-96E66F578407}
