TreeDepth,Offset,Proto,LocalAddr,LocalPort,ForeignAddr,ForeignPort,State,PID,Owner,Created
0,0xbe8853bb6a20,TCPv4,127.0.0.1,49685,127.0.0.1,49684,ESTABLISHED,8932,taskhsvc.exe,2026-03-09 17:13:29.000000 UTC
0,0xbe8851ad1a20,TCPv4,127.0.0.1,49684,127.0.0.1,49685,ESTABLISHED,8932,taskhsvc.exe,2026-03-09 17:13:29.000000 UTC
0,0xbe884dd96230,TCPv4,0.0.0.0,135,0.0.0.0,0,LISTENING,892,svchost.exe,2026-03-06 03:25:47.000000 UTC
0,0xbe884dd96230,TCPv6,::,135,::,0,LISTENING,892,svchost.exe,2026-03-06 03:25:47.000000 UTC
0,0xbe884dd95b50,TCPv4,0.0.0.0,135,0.0.0.0,0,LISTENING,892,svchost.exe,2026-03-06 03:25:47.000000 UTC
0,0xbe884cc90310,TCPv4,0.0.0.0,445,0.0.0.0,0,LISTENING,4,System,2026-03-06 03:25:54.000000 UTC
0,0xbe884cc90310,TCPv6,::,445,::,0,LISTENING,4,System,2026-03-06 03:25:54.000000 UTC
0,0xbe88516bfb50,TCPv4,0.0.0.0,5040,0.0.0.0,0,LISTENING,4528,svchost.exe,2026-03-06 03:27:10.000000 UTC
0,0xbe8852affd30,TCPv4,127.0.0.1,9050,0.0.0.0,0,LISTENING,8932,taskhsvc.exe,2026-03-09 17:13:29.000000 UTC
0,0xbe8852afe730,TCPv6,::1,42050,::,0,LISTENING,7180,OneDrive.Sync.,2026-03-06 03:28:53.000000 UTC
0,0xbe884dd96bd0,TCPv4,0.0.0.0,49664,0.0.0.0,0,LISTENING,652,lsass.exe,2026-03-06 03:25:47.000000 UTC
0,0xbe884dd96bd0,TCPv6,::,49664,::,0,LISTENING,652,lsass.exe,2026-03-06 03:25:47.000000 UTC
0,0xbe884dd96a70,TCPv4,0.0.0.0,49664,0.0.0.0,0,LISTENING,652,lsass.exe,2026-03-06 03:25:47.000000 UTC
0,0xbe884dd95cb0,TCPv4,0.0.0.0,49665,0.0.0.0,0,LISTENING,504,wininit.exe,2026-03-06 03:25:47.000000 UTC
0,0xbe884dd95cb0,TCPv6,::,49665,::,0,LISTENING,504,wininit.exe,2026-03-06 03:25:47.000000 UTC
0,0xbe884dd95730,TCPv4,0.0.0.0,49665,0.0.0.0,0,LISTENING,504,wininit.exe,2026-03-06 03:25:47.000000 UTC
0,0xbe884dd95050,TCPv4,0.0.0.0,49666,0.0.0.0,0,LISTENING,1036,svchost.exe,2026-03-06 03:25:48.000000 UTC
