feature,importance
filescan_ransom_notes,0.060038112
ldrmodules_avg_per_process,0.04228732
dlllist_max_load_total_per_process,0.040299345
ldrmodules_suspicious_path_hit_count,0.037545156
netstat_established_ratio,0.037179325
vad_total,0.033135716
vad_exec_ratio,0.030425807
dlllist_crypto_ratio,0.028973613
handle_encrypted_files,0.025882415
ldrmodules_max_per_process,0.023419773
vad_avg_regions_per_process,0.02129823
pslist_count,0.021150874
pslist_max_children,0.021093786
handle_mutex_ratio,0.019157723
netstat_total,0.019046377
handle_mutex_count,0.018463664
vad_private_region_count,0.017984577
handle_process_count,0.017904775
pslist_parent_missing_count,0.01773911
vad_priv_exec_ratio,0.016067935
vad_exec_count,0.015076724
malfind_rwx_ratio,0.014212507
hidden_process_count,0.014183344
ldrmodules_suspicious_path_ratio,0.013828196
ldrmodules_suspicious_path_pid_count,0.013785157
cmdline_max_length,0.013514551
malfind_rwx_region_count,0.0131701445
vad_private_exec,0.012971107
pslist_avg_threads,0.012659589
netstat_listening,0.012646778
dlllist_unique_dlls,0.012609862
dlllist_total,0.01221089
pslist_wow64_count,0.011606876
dlllist_crypto_pid_count,0.01118104
dlllist_unusual_path_hit_count,0.011169243
malfind_count,0.009482123
ldrmodules_not_in_load,0.009328334
svcscan_stopped,0.009239926
vad_private_ratio,0.008873004
netstat_pid_count,0.008581425
netstat_avg_connections_per_process,0.008545422
malfind_avg_regions_per_process,0.008080328
dlllist_crypto_hit_count,0.0077892174
dlllist_unusual_path_ratio,0.0077505494
handle_thread_count,0.0077336095
ldrmodules_total,0.007710849
pslist_avg_children,0.007590953
filescan_total,0.007574205
cmdline_count,0.007406588
psscan_count,0.0072778245
cmdline_suspicious_count,0.0066193813
malfind_exe_regions,0.006554834
vad_rwx_pid_count,0.0064808475
vad_pid_count,0.0063910973
handle_file_count,0.006305777
vad_max_regions_per_process,0.0062471614
ldrmodules_not_in_init,0.0059700906
filescan_encrypted,0.005645692
cmdline_avg_length,0.0056265825
cmdline_unusual_dir_ratio,0.0055809696
ldrmodules_not_in_mem,0.00553751
svcscan_total,0.0055073695
handle_registry_count,0.0054139635
malfind_pid_count,0.0053630844
dlllist_avg_per_process,0.0046958495
cmdline_unusual_dir_count,0.004155508
handle_file_ratio,0.0041090907
handle_registry_ratio,0.0037275448
svcscan_running,0.0033048687
handle_total,0.0032289643
priv_total_enabled,0.0031034409
dlllist_non_system,0.0030223464
dlllist_avg_max_loadcount_per_process,0.002656231
pslist_unique_names,0.0025938347
dlllist_avg_load_total_per_process,0.0024658353
svcscan_security_stopped,0.0024242767
filescan_encrypted_ratio,0.0020962867
malfind_max_regions_per_process,0.0018448959
dlllist_unusual_path_pid_count,0.0015907879
cmdline_script_tool_count,0.0015167942
pslist_exited_count,0.0014451705
vad_rwx_ratio,0.0011234701
netstat_outbound_ratio,0.0007663664
cmdline_with_args,0.0
pslist_ransom_procs,0.0
dlllist_crypto_dlls,0.0
malfind_injected_pid_count,0.0
vad_rwx_region_count,0.0
malfind_private,0.0
vad_private_pid_count,0.0
malfind_rwx_pid_count,0.0
netstat_established_pid_count,0.0
netstat_unique_ips,0.0
netstat_established,0.0
netstat_udp_pid_count,0.0
netstat_tcp_pid_count,0.0
netstat_outbound_pid_count,0.0
netstat_outbound_count,0.0
netstat_avg_unique_ips_per_process,0.0
netstat_max_connections_per_process,0.0
netstat_listening_pid_count,0.0
