family,feature,fam_mean,benign_mean,cohens_d,benign_overlap_pct
Cerber,pslist_count,96.125,100.4133,0.7292,0.6
Cerber,pslist_unique_names,52.775,53.6933,0.4119,0.6133
Cerber,pslist_avg_threads,13.7175,12.8447,0.7531,0.96
Cerber,pslist_wow64_count,3.225,1.4133,2.8348,0.0
Cerber,pslist_exited_count,2.525,3.0,0.5893,1.0
Cerber,pslist_ransom_procs,0.0,0.0,0.0,1.0
Cerber,pslist_wannacry_procs,0.0,0.0,0.0,1.0
Cerber,pslist_avg_children,4.7172,4.6084,0.4098,0.88
Cerber,pslist_max_children,37.875,37.3467,0.3169,1.0
Cerber,pslist_parent_missing_count,5.35,5.6667,0.505,0.3467
Cerber,psscan_count,102.75,109.5467,2.0062,0.1067
Cerber,hidden_process_count,6.625,9.1333,0.5508,0.32
Cerber,cmdline_count,96.125,100.4133,0.7292,0.6
Cerber,cmdline_with_args,96.125,100.4133,0.7292,0.6
Cerber,cmdline_suspicious_count,2.45,1.76,0.8238,0.5733
Cerber,cmdline_avg_length,111.3868,91.0049,0.8982,0.3333
Cerber,cmdline_max_length,1230.3,997.12,0.7198,0.88
Cerber,cmdline_unusual_dir_count,7.75,6.3333,0.7838,0.36
Cerber,cmdline_script_tool_count,0.85,0.28,1.3092,0.28
Cerber,dlllist_total,4829.6,3998.64,1.1716,0.4
Cerber,dlllist_unique_dlls,883.15,789.2933,0.935,0.44
Cerber,dlllist_avg_per_process,56.0227,53.0181,0.4119,0.3333
Cerber,dlllist_non_system,5183.075,4455.28,1.0225,0.3867
Cerber,dlllist_avg_load_total_per_process,308.0583,303.1816,0.057,0.8
Cerber,dlllist_max_load_total_per_process,2887.325,2334.6667,0.1154,0.96
Cerber,dlllist_avg_max_loadcount_per_process,19.7228,19.4312,0.004,0.96
Cerber,dlllist_unusual_path_pid_count,6.3,6.0667,0.1749,0.36
Cerber,dlllist_unusual_path_hit_count,60.0,65.5333,0.427,0.16
Cerber,dlllist_crypto_pid_count,71.325,57.96,1.3562,0.4533
Cerber,dlllist_crypto_hit_count,160.0,137.1867,1.2221,0.4267
Cerber,dlllist_crypto_dlls,7.0,7.0,0.0,1.0
Cerber,ldrmodules_total,1754.3,314.5333,0.9909,1.0
Cerber,ldrmodules_not_in_load,181.075,34.6933,0.7936,1.0
Cerber,ldrmodules_not_in_init,225.1,53.52,0.8439,1.0
Cerber,ldrmodules_not_in_mem,181.075,34.6933,0.7936,1.0
Cerber,ldrmodules_avg_per_process,25.3697,10.4295,1.0349,0.8267
Cerber,ldrmodules_max_per_process,132.925,98.4,0.4859,0.76
Cerber,ldrmodules_suspicious_path_pid_count,2.25,1.24,0.8451,0.9067
Cerber,ldrmodules_suspicious_path_hit_count,14.525,3.0267,0.6939,1.0
Cerber,vad_total,17018.7,18496.0667,1.201,0.44
Cerber,vad_exec_count,5764.125,6017.7067,0.8035,0.6
Cerber,vad_private_exec,18.375,16.4933,0.6548,0.92
Cerber,vad_pid_count,93.6,97.4133,0.643,0.6
Cerber,vad_avg_regions_per_process,181.9943,189.6793,1.7432,0.2667
Cerber,vad_max_regions_per_process,2305.025,2743.16,1.347,0.3467
Cerber,vad_avg_total_mem_per_process,0.0,0.0,0.0,1.0
Cerber,vad_max_total_mem_per_process,0.0,0.0,0.0,1.0
Cerber,vad_avg_max_region_size_per_process,0.0,0.0,0.0,1.0
Cerber,vad_private_pid_count,92.6,96.4133,0.643,0.6
Cerber,vad_private_region_count,7539.275,8462.2667,1.2885,0.3067
Cerber,vad_rwx_pid_count,4.175,3.88,0.8344,0.88
Cerber,vad_rwx_region_count,17.625,14.9067,1.5229,0.0267
Cerber,malfind_count,7.6,8.8933,0.1867,0.4933
Cerber,malfind_rwx_region_count,6.85,3.0133,1.3161,0.4533
Cerber,malfind_private,7.6,4.5867,0.8532,0.6933
Cerber,malfind_private_exec,7.6,4.5867,0.8532,0.6933
Cerber,malfind_pid_count,3.425,5.4267,0.7135,0.56
Cerber,malfind_avg_regions_per_process,2.2448,1.4392,0.8009,1.0
Cerber,malfind_max_regions_per_process,4.175,2.52,0.6552,1.0
Cerber,malfind_rwx_pid_count,3.05,2.0267,1.0737,0.56
Cerber,handle_total,40333.45,37912.36,1.0943,0.44
Cerber,handle_avg_per_process,485.6562,485.7695,0.0054,0.8267
Cerber,handle_file_count,1862.025,1818.8,0.5353,0.48
Cerber,handle_registry_count,3269.875,2888.7733,0.9163,0.5733
Cerber,handle_mutex_count,874.65,696.44,2.9546,0.0
Cerber,handle_process_count,886.75,900.44,0.3982,0.6267
Cerber,handle_thread_count,1791.0,1706.0533,0.3795,0.96
Cerber,handle_port_count,2099.625,1966.56,1.1866,0.5333
Cerber,handle_event_count,10421.825,10022.5733,0.6914,0.7733
Cerber,handle_section_count,1239.25,1139.0133,1.0067,0.28
Cerber,handle_semaphore_count,1706.875,1795.68,0.9268,0.6533
Cerber,handle_timer_count,959.65,873.04,1.1349,0.5733
Cerber,handle_desktop_count,82.825,73.3733,1.406,0.36
Cerber,handle_directory_count,210.9,194.0933,0.9334,0.7333
Cerber,handle_token_count,637.85,558.8267,0.8368,0.5333
Cerber,handle_file_ratio,0.0462,0.0481,1.0478,0.5467
Cerber,handle_registry_ratio,0.0813,0.0756,0.5998,0.64
Cerber,handle_mutex_ratio,0.0217,0.0184,2.9153,0.04
Cerber,handle_encrypted_files,0.0,0.0,0.0,1.0
Cerber,handle_wncryt_count,0.0,0.0,0.0,1.0
Cerber,handle_eky_count,0.0,0.0,0.0,1.0
Cerber,handle_fun_count,0.0,0.0,0.0,1.0
Cerber,filescan_total,5516.075,5543.5733,0.0451,0.84
Cerber,filescan_encrypted,13.3,0.6933,10.3406,0.0
Cerber,filescan_ransom_notes,0.0,0.0,0.0,1.0
Cerber,filescan_wncryt,0.0,0.0,0.0,1.0
Cerber,filescan_fun,0.0,0.0,0.0,1.0
Cerber,filescan_jigsaw_notes,0.0,0.0,0.0,1.0
Cerber,svcscan_total,634.8649,627.2419,0.5862,0.8065
Cerber,svcscan_running,208.0541,217.2419,0.8543,1.0
Cerber,svcscan_stopped,425.8108,409.0,1.1915,0.8226
Cerber,svcscan_security_stopped,4.4595,5.0,0.8607,1.0
Cerber,priv_total_enabled,1108.675,1147.24,0.6383,0.7733
Cerber,netstat_total,40.125,41.44,0.9079,0.64
Cerber,netstat_established,0.0,1.44,1.0607,0.64
Cerber,netstat_listening,27.95,28.0,0.12,1.0
Cerber,netstat_unique_ips,1.0,1.36,1.0607,0.64
Cerber,netstat_outbound_count,9.8,11.44,1.1826,0.64
Cerber,netstat_established_ratio,0.0,0.0327,1.0607,0.64
Cerber,netstat_outbound_ratio,0.2442,0.2746,1.2815,0.64
Cerber,vad_exec_ratio,0.3386,0.3261,1.6694,0.2933
Cerber,vad_priv_exec_ratio,0.0011,0.0009,1.3929,0.7733
Cerber,vad_rwx_ratio,0.001,0.0008,1.9756,0.4133
Cerber,vad_private_ratio,0.4431,0.4564,1.3356,0.3867
Cerber,ldrmodules_suspicious_path_ratio,0.0049,0.0126,0.5121,0.52
Cerber,filescan_encrypted_ratio,0.0024,0.0001,18.6546,0.0
Cerber,cmdline_unusual_dir_ratio,0.0808,0.0637,0.886,0.4533
Cerber,dlllist_unusual_path_ratio,0.0125,0.0167,1.8165,0.04
Cerber,dlllist_crypto_ratio,0.0331,0.0354,0.6261,0.4933
Cerber,malfind_rwx_ratio,0.9438,0.6727,0.8363,0.64
Cerber,signal_injection_score,0.9856,0.6355,1.653,0.32
Cerber,signal_encryption_score,0.0886,0.0046,10.3221,0.0
Cerber,tier1_composite,0.6172,0.4437,1.0561,0.52
Dharma,pslist_count,104.549,100.4133,0.5741,0.36
Dharma,pslist_unique_names,57.0392,53.6933,1.1006,0.4933
Dharma,pslist_avg_threads,12.752,12.8447,0.1829,0.76
Dharma,pslist_wow64_count,2.4902,1.4133,1.5845,0.4133
Dharma,pslist_exited_count,7.4118,3.0,3.6582,0.0
Dharma,pslist_ransom_procs,0.9608,0.0,7.0,0.0
Dharma,pslist_wannacry_procs,0.0,0.0,0.0,1.0
Dharma,pslist_avg_children,4.342,4.6084,1.1607,0.56
Dharma,pslist_max_children,39.1961,37.3467,1.4384,0.4267
Dharma,pslist_parent_missing_count,5.0,5.6667,1.3506,0.3467
Dharma,psscan_count,107.0196,109.5467,0.4664,0.96
Dharma,hidden_process_count,2.4706,9.1333,1.7222,0.2933
Dharma,cmdline_count,104.549,100.4133,0.5741,0.36
Dharma,cmdline_with_args,104.549,100.4133,0.5741,0.36
Dharma,cmdline_suspicious_count,1.4118,1.76,0.3614,0.8133
Dharma,cmdline_avg_length,47.3714,91.0049,1.9731,0.16
Dharma,cmdline_max_length,798.0,997.12,0.4407,1.0
Dharma,cmdline_unusual_dir_count,4.2941,6.3333,1.0,0.5867
Dharma,cmdline_script_tool_count,0.7451,0.28,0.617,1.0
Dharma,dlllist_total,3041.7647,3998.64,1.0661,0.2667
Dharma,dlllist_unique_dlls,686.1569,789.2933,0.8446,0.2
Dharma,dlllist_avg_per_process,53.229,53.0181,0.0263,0.52
Dharma,dlllist_non_system,3577.1373,4455.28,0.9616,0.24
Dharma,dlllist_avg_load_total_per_process,294.0645,303.1816,0.0897,0.8667
Dharma,dlllist_max_load_total_per_process,1613.5882,2334.6667,0.2678,0.9067
Dharma,dlllist_avg_max_loadcount_per_process,11.1102,19.4312,0.1284,0.96
Dharma,dlllist_unusual_path_pid_count,4.4118,6.0667,1.1283,0.2933
Dharma,dlllist_unusual_path_hit_count,34.9412,65.5333,1.5472,0.3067
Dharma,dlllist_crypto_pid_count,45.4314,57.96,1.0277,0.2267
Dharma,dlllist_crypto_hit_count,94.8235,137.1867,1.6248,0.2267
Dharma,dlllist_crypto_dlls,7.0,7.0,0.0,1.0
Dharma,ldrmodules_total,638.7451,314.5333,1.2418,0.3467
Dharma,ldrmodules_not_in_load,56.4706,34.6933,0.638,0.64
Dharma,ldrmodules_not_in_init,83.7647,53.52,0.8197,0.4533
Dharma,ldrmodules_not_in_mem,56.4706,34.6933,0.638,0.64
Dharma,ldrmodules_avg_per_process,17.462,10.4295,1.1677,0.3867
Dharma,ldrmodules_max_per_process,70.8039,98.4,0.6296,0.3467
Dharma,ldrmodules_suspicious_path_pid_count,1.0196,1.24,0.3219,0.5733
Dharma,ldrmodules_suspicious_path_hit_count,1.3137,3.0267,0.4095,0.6933
Dharma,vad_total,17518.9804,18496.0667,0.7174,0.6267
Dharma,vad_exec_count,5864.9412,6017.7067,0.4534,0.5867
Dharma,vad_private_exec,18.5098,16.4933,0.4553,1.0
Dharma,vad_pid_count,97.1373,97.4133,0.0399,0.5333
Dharma,vad_avg_regions_per_process,180.5794,189.6793,1.7283,0.2667
Dharma,vad_max_regions_per_process,2366.8235,2743.16,0.9836,0.64
Dharma,vad_avg_total_mem_per_process,0.0,0.0,0.0,1.0
Dharma,vad_max_total_mem_per_process,0.0,0.0,0.0,1.0
Dharma,vad_avg_max_region_size_per_process,0.0,0.0,0.0,1.0
Dharma,vad_private_pid_count,96.1373,96.4133,0.0399,0.5333
Dharma,vad_private_region_count,7750.2745,8462.2667,0.8403,0.64
Dharma,vad_rwx_pid_count,3.8039,3.88,0.1051,1.0
Dharma,vad_rwx_region_count,17.451,14.9067,0.5933,1.0
Dharma,malfind_count,9.2273,8.8933,0.0453,0.52
Dharma,malfind_rwx_region_count,8.1136,3.0133,1.0519,0.7333
Dharma,malfind_private,9.2273,4.5867,1.0695,0.72
Dharma,malfind_private_exec,9.2273,4.5867,1.0695,0.72
Dharma,malfind_pid_count,2.7045,5.4267,0.9491,0.64
Dharma,malfind_avg_regions_per_process,4.7039,1.4392,0.9127,1.0
Dharma,malfind_max_regions_per_process,6.9091,2.52,1.0154,0.7733
Dharma,malfind_rwx_pid_count,2.1136,2.0267,0.0753,0.68
Dharma,handle_total,36021.7255,37912.36,0.6896,0.5333
Dharma,handle_avg_per_process,506.9455,485.7695,0.8754,0.7467
Dharma,handle_file_count,1628.8627,1818.8,1.8186,0.0933
Dharma,handle_registry_count,2963.4706,2888.7733,0.1617,0.6133
Dharma,handle_mutex_count,806.2549,696.44,1.5749,0.2933
Dharma,handle_process_count,891.5686,900.44,0.2057,0.76
Dharma,handle_thread_count,1502.9412,1706.0533,1.3377,0.5333
Dharma,handle_port_count,1963.451,1966.56,0.0226,0.8667
Dharma,handle_event_count,9187.7451,10022.5733,1.1693,0.3733
Dharma,handle_section_count,1062.3725,1139.0133,0.63,0.2667
Dharma,handle_semaphore_count,1627.451,1795.68,1.5179,0.32
Dharma,handle_timer_count,832.4902,873.04,0.507,0.16
Dharma,handle_desktop_count,71.5686,73.3733,0.2403,0.8
Dharma,handle_directory_count,187.1765,194.0933,0.4243,0.7333
Dharma,handle_token_count,731.0588,558.8267,1.6675,0.4133
Dharma,handle_file_ratio,0.0453,0.0481,1.4648,0.4267
Dharma,handle_registry_ratio,0.0821,0.0756,0.7159,0.64
Dharma,handle_mutex_ratio,0.0225,0.0184,2.2502,0.08
Dharma,handle_encrypted_files,1.6667,0.0,1.1164,1.0
Dharma,handle_wncryt_count,0.0,0.0,0.0,1.0
Dharma,handle_eky_count,0.0,0.0,0.0,1.0
Dharma,handle_fun_count,0.0,0.0,0.0,1.0
Dharma,filescan_total,6402.2549,5543.5733,1.4723,0.6
