feature,consistency,weighted_score,mean_peak,mean_delta,mean_rel_delta,cohens_d,cv_peak,n_families
pslist_avg_threads,1.0,10.0,13.449,4.707,10.0,1.071,0.037,3
cmdline_suspicious_count,1.0,10.0,1.843,1.044,10.0,1.947,0.24,3
pslist_avg_children,1.0,10.0,4.516,1.59,10.0,1.081,0.034,3
cmdline_max_length,1.0,10.0,1076.433,544.307,10.0,1.812,0.183,3
dlllist_unique_dlls,1.0,10.0,743.769,259.825,10.0,1.019,0.133,3
dlllist_unusual_path_hit_count,1.0,10.0,43.358,19.887,10.0,1.346,0.271,3
dlllist_crypto_hit_count,1.0,10.0,115.363,38.394,10.0,0.82,0.274,3
dlllist_total,1.0,10.0,3565.855,1267.282,10.0,0.93,0.252,3
dlllist_unusual_path_ratio,1.0,10.0,0.012,0.005,10.0,1.617,0.056,3
filescan_encrypted,1.0,10.0,464.465,463.689,10.0,1.892,0.746,3
filescan_encrypted_ratio,1.0,10.0,0.074,0.074,10.0,1.961,0.719,3
signal_encryption_score,1.0,10.0,0.497,0.492,10.0,2.405,0.582,3
handle_section_count,1.0,10.0,1127.008,396.84,10.0,1.071,0.071,3
handle_thread_count,1.0,10.0,1676.069,548.983,10.0,0.962,0.074,3
handle_event_count,1.0,10.0,9805.146,3199.452,10.0,0.961,0.051,3
handle_timer_count,1.0,10.0,892.069,286.548,10.0,0.937,0.059,3
handle_total,1.0,10.0,38010.458,12365.546,10.0,0.958,0.047,3
vad_private_exec,0.667,6.667,20.228,4.372,10.0,0.486,0.125,3
ldrmodules_not_in_mem,0.667,6.667,138.649,-119.104,10.0,-0.522,0.419,3
ldrmodules_avg_per_process,0.667,6.667,20.903,4.526,10.0,0.47,0.158,3
ldrmodules_max_per_process,0.667,6.667,99.354,25.766,10.0,0.577,0.258,3
dlllist_avg_per_process,0.667,6.667,52.619,18.913,10.0,1.112,0.058,3
dlllist_non_system,0.667,6.667,3972.293,1364.124,10.0,0.922,0.22,3
cmdline_script_tool_count,0.667,6.667,0.532,0.532,10.0,1.987,0.712,3
cmdline_unusual_dir_count,0.667,6.667,4.859,2.39,10.0,1.202,0.446,3
dlllist_max_load_total_per_process,0.667,6.667,2010.304,958.406,10.0,1.398,0.309,3
dlllist_avg_load_total_per_process,0.667,6.667,289.258,101.129,10.0,1.066,0.061,3
dlllist_unusual_path_pid_count,0.667,6.667,4.704,1.804,10.0,1.066,0.255,3
dlllist_avg_max_loadcount_per_process,0.667,6.667,11.913,8.344,10.0,1.793,0.51,3
dlllist_crypto_pid_count,0.667,6.667,52.963,16.64,10.0,0.783,0.246,3
ldrmodules_total,0.667,6.667,1121.971,73.957,10.0,0.097,0.417,3
ldrmodules_not_in_load,0.667,6.667,138.649,-119.104,10.0,-0.522,0.419,3
ldrmodules_not_in_init,0.667,6.667,175.266,-109.0,10.0,-0.454,0.37,3
vad_private_pid_count,0.667,6.667,96.824,29.835,10.0,0.885,0.039,3
vad_pid_count,0.667,6.667,97.824,30.168,10.0,0.886,0.038,3
vad_avg_regions_per_process,0.667,6.667,178.101,62.171,10.0,1.07,0.026,3
vad_max_regions_per_process,0.667,6.667,2292.572,796.368,10.0,1.062,0.029,3
ldrmodules_suspicious_path_pid_count,0.667,6.667,1.579,0.441,10.0,0.56,0.322,3
ldrmodules_suspicious_path_hit_count,0.667,6.667,6.235,-1.184,10.0,-0.15,0.946,3
vad_total,0.667,6.667,17357.627,5642.518,10.0,0.963,0.014,3
pslist_count,0.667,6.667,101.869,32.588,10.0,0.935,0.04,3
cmdline_with_args,0.667,6.667,101.869,32.588,10.0,0.935,0.04,3
hidden_process_count,0.667,6.667,4.076,0.957,10.0,0.473,0.447,3
cmdline_avg_length,0.667,6.667,69.574,31.068,10.0,1.093,0.425,3
psscan_count,0.667,6.667,105.945,33.544,10.0,0.923,0.022,3
pslist_max_children,0.667,6.667,38.601,12.99,10.0,1.014,0.014,3
pslist_parent_missing_count,0.667,6.667,4.983,1.695,10.0,1.022,0.061,3
pslist_exited_count,0.667,6.667,4.046,2.419,10.0,1.292,0.589,3
pslist_unique_names,0.667,6.667,55.36,17.796,10.0,0.944,0.034,3
ldrmodules_suspicious_path_ratio,0.667,6.667,0.003,0.001,10.0,0.58,0.409,3
cmdline_unusual_dir_ratio,0.667,6.667,0.049,0.025,10.0,1.174,0.478,3
netstat_outbound_ratio,0.667,6.667,0.251,0.074,10.0,0.835,0.023,3
vad_private_ratio,0.667,6.667,0.441,0.15,10.0,1.027,0.005,3
vad_exec_ratio,0.667,6.667,0.34,0.11,10.0,0.96,0.012,3
priv_total_enabled,0.667,6.667,1239.479,360.331,10.0,0.798,0.079,3
malfind_rwx_ratio,0.667,6.667,0.678,0.133,10.0,0.419,0.321,3
dlllist_crypto_ratio,0.667,6.667,0.032,0.01,10.0,0.895,0.028,3
vad_exec_count,0.667,6.667,5895.533,1861.455,10.0,0.921,0.021,3
handle_file_count,0.667,6.667,1754.874,540.205,10.0,0.882,0.055,3
malfind_rwx_pid_count,0.667,6.667,2.488,0.52,10.0,0.372,0.163,3
handle_avg_per_process,0.667,6.667,489.288,171.824,10.0,1.097,0.027,3
handle_registry_count,0.667,6.667,3021.226,1050.134,10.0,1.054,0.061,3
vad_private_region_count,0.667,6.667,7655.45,2536.883,10.0,0.991,0.011,3
vad_rwx_region_count,0.667,6.667,19.114,4.073,10.0,0.485,0.117,3
vad_rwx_pid_count,0.667,6.667,4.437,0.771,10.0,0.371,0.147,3
handle_registry_ratio,0.667,6.667,0.08,0.028,10.0,1.103,0.039,3
handle_token_count,0.667,6.667,633.058,231.91,10.0,1.073,0.13,3
handle_mutex_ratio,0.667,6.667,0.022,0.008,10.0,1.028,0.017,3
handle_mutex_count,0.667,6.667,832.168,282.837,10.0,1.018,0.036,3
handle_port_count,0.667,6.667,2024.759,672.087,10.0,0.99,0.028,3
handle_process_count,0.667,6.667,896.884,279.879,10.0,0.905,0.012,3
handle_desktop_count,0.667,6.667,77.887,23.286,10.0,0.84,0.06,3
handle_directory_count,0.667,6.667,202.292,59.417,10.0,0.821,0.053,3
svcscan_stopped,0.667,6.667,418.27,141.058,10.0,1.017,0.013,3
svcscan_total,0.667,6.667,629.137,208.337,10.0,0.992,0.013,3
filescan_total,0.667,6.667,6035.754,1708.448,10.0,0.662,0.063,3
svcscan_security_stopped,0.667,6.667,3.88,0.894,10.0,0.567,0.149,3
malfind_pid_count,0.667,6.667,3.143,0.803,10.0,0.485,0.1,3
malfind_private_exec,0.667,6.667,7.609,1.9,10.0,0.514,0.173,3
malfind_avg_regions_per_process,0.667,6.667,2.907,1.181,10.0,0.928,0.442,3
malfind_private,0.667,6.667,7.609,1.9,10.0,0.514,0.173,3
vad_priv_exec_ratio,0.667,6.667,0.001,0.0,10.0,0.526,0.108,3
vad_rwx_ratio,0.667,6.667,0.001,0.0,10.0,0.534,0.102,3
cmdline_count,0.667,5.494,101.869,30.588,8.241,0.93,0.04,3
netstat_listening,0.333,3.333,28.05,8.906,10.0,0.93,0.004,3
pslist_ransom_procs,0.333,3.333,0.32,0.32,10.0,1.0,1.414,3
pslist_wow64_count,0.333,3.333,3.394,0.099,10.0,0.055,0.24,3
dlllist_crypto_dlls,0.333,3.333,7.0,2.333,10.0,1.0,0.0,3
filescan_wncryt,0.333,3.333,174.467,173.857,10.0,0.997,1.414,3
netstat_outbound_count,0.333,3.333,10.178,2.695,10.0,0.706,0.039,3
svcscan_running,0.333,3.333,209.816,67.228,10.0,0.939,0.033,3
filescan_ransom_notes,0.333,3.333,2.889,2.889,10.0,1.0,1.414,3
handle_encrypted_files,0.333,3.333,0.556,0.556,10.0,1.0,1.414,3
handle_semaphore_count,0.333,3.333,1643.775,537.228,10.0,0.968,0.028,3
