feature,consistency,weighted_score,mean_peak,mean_delta,mean_rel_delta,cohens_d,cv_peak,n_families,cohens_d_sep,benign_mean,ransom_mean,direction,cohens_d_sep_norm,stability,universal_score,tier
netstat_unique_ips,0.25,0.013,1.0,0.013,0.053,0.816,0.0,4,11383.84,1.36,1.0,benign_higher,0.2500000109804726,1.0,0.0032500001427461433,2
cmdline_script_tool_count,0.5,5.0,0.67,0.573,840000000.786,1.107,1.062,4,0.548,0.28,0.67,ransomware_higher,1.20346039664383e-05,0.4849660523763336,2.9181871887580746e-05,3
dlllist_max_load_total_per_process,0.75,0.013,1612.023,19.698,0.017,1.044,0.005,4,84.935,2334.667,1612.023,benign_higher,0.001865253810017221,0.9950248756218907,2.412766122410336e-05,2
ldrmodules_suspicious_path_hit_count,0.5,1.64,8.551,5.515,3.281,1.137,0.798,4,0.81,3.027,8.551,ransomware_higher,1.7788374475939823e-05,0.5561735261401557,1.622521364879939e-05,3
filescan_encrypted,0.75,1.32,473.28,271.398,1.76,0.66,1.125,4,0.888,0.693,473.28,ransomware_higher,1.95013290551044e-05,0.47058823529411764,1.2113766754229557e-05,2
ldrmodules_total,0.5,0.522,1151.165,309.928,1.043,0.75,0.499,4,1.457,314.533,1151.165,ransomware_higher,3.199711310054855e-05,0.66711140760507,1.1142423641418508e-05,3
filescan_encrypted_ratio,0.75,1.205,0.074,0.042,1.607,0.649,1.119,4,0.892,0.0,0.074,ransomware_higher,1.9589172879676942e-05,0.47192071731949037,1.1139666503072544e-05,2
ldrmodules_not_in_mem,0.5,0.696,102.72,33.703,1.392,0.711,0.58,4,1.142,34.693,102.72,ransomware_higher,2.5079411915460835e-05,0.6329113924050632,1.1047639679215657e-05,3
ldrmodules_not_in_load,0.5,0.696,102.72,33.703,1.392,0.711,0.58,4,1.142,34.693,102.72,ransomware_higher,2.5079411915460835e-05,0.6329113924050632,1.1047639679215657e-05,3
ldrmodules_not_in_init,0.5,0.511,135.92,36.263,1.022,0.671,0.504,4,1.202,53.52,135.92,ransomware_higher,2.6397069284048972e-05,0.6648936170212766,8.968685109141639e-06,3
ldrmodules_suspicious_path_ratio,0.5,0.063,0.004,0.0,0.126,0.088,0.38,4,6.347,0.013,0.004,benign_higher,0.00013938618864048157,0.7246376811594204,6.363282524891551e-06,2
netstat_outbound_ratio,0.5,0.018,0.247,0.004,0.035,1.585,0.008,4,14.027,0.275,0.247,benign_higher,0.0003080463318197628,0.9920634920634921,5.500827353924336e-06,2
malfind_rwx_region_count,0.5,0.365,5.205,0.685,0.73,0.297,0.471,4,0.894,3.013,5.205,ransomware_higher,1.9633094791963212e-05,0.6798096532970768,4.871570087740702e-06,3
netstat_outbound_count,0.5,0.013,9.822,0.115,0.027,1.025,0.011,4,15.582,11.44,9.822,benign_higher,0.0003421956186223387,0.9891196834817014,4.400141485747185e-06,2
vad_private_region_count,0.75,0.014,7544.63,104.805,0.019,1.431,0.009,4,13.13,8462.267,7544.63,benign_higher,0.00028834735415937023,0.9910802775024778,4.000855260883234e-06,2
netstat_total,0.25,0.011,39.822,0.211,0.044,0.371,0.003,4,15.582,41.44,39.822,benign_higher,0.0003421956186223387,0.9970089730807579,3.7528931254693177e-06,2
vad_max_regions_per_process,0.75,0.041,2341.85,92.249,0.055,1.22,0.041,4,4.167,2743.16,2341.85,benign_higher,9.151130424844597e-05,0.9606147934678195,3.604191617854261e-06,2
signal_injection_score,0.5,0.136,0.619,0.04,0.272,0.347,0.172,4,1.402,0.47,0.619,ransomware_higher,3.078926051267609e-05,0.8532423208191127,3.5728152130750415e-06,3
ldrmodules_avg_per_process,0.5,0.142,21.015,0.262,0.283,0.052,0.335,4,1.501,10.429,21.015,ransomware_higher,3.296339517084651e-05,0.7490636704119851,3.506218812179928e-06,3
malfind_rwx_ratio,0.75,0.274,0.812,0.165,0.365,0.738,0.299,4,0.573,0.673,0.812,ransomware_higher,1.258362787001669e-05,0.7698229407236336,2.6542833228518657e-06,2
malfind_count,0.25,0.087,5.705,-0.717,0.346,-0.37,0.321,4,1.739,8.893,5.705,benign_higher,3.8190102732912785e-05,0.757002271006813,2.5151695213954673e-06,3
malfind_avg_regions_per_process,0.5,0.27,2.438,0.565,0.541,0.519,0.607,4,0.675,1.439,2.438,ransomware_higher,1.4823645396616521e-05,0.6222775357809583,2.4905938127482646e-06,3
handle_file_ratio,0.25,0.014,0.046,0.001,0.058,0.533,0.006,4,7.635,0.048,0.046,benign_higher,0.0001676719001528402,0.9940357852882704,2.3334061651488696e-06,2
tier1_composite,0.5,0.097,0.569,0.043,0.194,0.463,0.184,4,1.201,0.444,0.569,ransomware_higher,2.637510832790584e-05,0.8445945945945946,2.160798570782827e-06,3
vad_rwx_region_count,0.5,0.008,16.138,-0.723,0.016,-0.672,0.007,4,10.862,14.907,16.138,ransomware_higher,0.00023853990562673874,0.99304865938431,1.8950538679383417e-06,2
vad_total,0.5,0.011,17031.449,172.82,0.022,0.797,0.011,4,7.712,18496.067,17031.449,benign_higher,0.00016936289377586164,0.9891196834817014,1.842721890736378e-06,2
malfind_max_regions_per_process,0.5,0.252,3.653,0.496,0.503,0.291,0.607,4,0.511,2.52,3.653,ransomware_higher,1.1222048589142284e-05,0.6222775357809583,1.7597736431013414e-06,3
pslist_parent_missing_count,0.5,0.059,5.072,0.275,0.118,0.905,0.084,4,1.394,5.667,5.072,benign_higher,3.0613572863531006e-05,0.9225092250922509,1.6662368993988277e-06,3
handle_registry_ratio,0.75,0.01,0.082,0.001,0.014,0.481,0.012,4,7.053,0.076,0.082,ransomware_higher,0.0001548906236775353,0.9881422924901185,1.5305397596594394e-06,2
vad_private_ratio,0.75,0.017,0.443,0.007,0.023,1.007,0.008,4,3.774,0.456,0.443,benign_higher,8.28806484841937e-05,0.9920634920634921,1.3977887145151717e-06,2
signal_encryption_score,0.75,0.098,0.409,0.008,0.13,0.023,0.904,4,1.094,0.005,0.409,ransomware_higher,2.402528602059033e-05,0.5252100840336135,1.2365956040009731e-06,2
vad_exec_ratio,0.25,0.012,0.337,0.003,0.05,0.454,0.007,4,4.581,0.326,0.337,ransomware_higher,0.00010060314009170412,0.99304865938431,1.1988457607750244e-06,2
vad_avg_regions_per_process,0.75,0.019,182.383,3.263,0.025,0.861,0.014,4,2.908,189.679,182.383,benign_higher,6.386246046423828e-05,0.9861932938856016,1.196633874576457e-06,2
svcscan_stopped,0.75,0.016,420.385,6.469,0.022,0.669,0.008,4,3.209,409.0,420.385,ransomware_higher,7.04727082633221e-05,0.9920634920634921,1.1186144168781285e-06,2
vad_rwx_ratio,0.25,0.012,0.001,-0.0,0.047,-0.445,0.016,4,4.221,0.001,0.001,ransomware_higher,9.26971958801753e-05,0.984251968503937,1.0948487702382909e-06,2
