feature,importance
dlllist_unusual_path_ratio,0.11510823365884897
psscan_count,0.08290842869894072
vad_avg_regions_per_process,0.06266089016260494
filescan_encrypted,0.05506124764264623
vad_total,0.05180547917236766
dlllist_unusual_path_hit_count,0.047345124619158685
handle_thread_count,0.04111239510158666
vad_rwx_ratio,0.038544202990090856
vad_private_region_count,0.03518343130180302
filescan_encrypted_ratio,0.03313841231599234
vad_exec_ratio,0.032201748525616726
vad_priv_exec_ratio,0.02180008074033444
handle_process_count,0.018353837537154877
vad_exec_count,0.016957968290306772
pslist_wow64_count,0.01691685687967706
vad_rwx_region_count,0.016544785467182875
priv_total_enabled,0.015988363135960703
pslist_exited_count,0.012818091923649355
vad_max_regions_per_process,0.012645747630586748
handle_mutex_ratio,0.01218343727166995
hidden_process_count,0.011654383085579353
pslist_parent_missing_count,0.01088051612448167
netstat_avg_connections_per_process,0.00903498995858115
handle_file_count,0.008851415998066913
netstat_established_ratio,0.008452304407423457
cmdline_avg_length,0.00825792719387645
malfind_avg_regions_per_process,0.008182756188476446
pslist_avg_threads,0.008163525146438973
pslist_max_children,0.00801107613183914
pslist_count,0.007572303717515202
dlllist_unique_dlls,0.00756488223484291
netstat_outbound_ratio,0.0068212555264347595
pslist_avg_children,0.006814234529974968
dlllist_max_load_total_per_process,0.006485068205052692
netstat_listening,0.006457771676181079
cmdline_with_args,0.005684786494956241
svcscan_stopped,0.0054243584123019285
cmdline_unusual_dir_ratio,0.005382914464906765
vad_private_ratio,0.004802517877419505
dlllist_crypto_ratio,0.004784227833193714
handle_mutex_count,0.004694050367985025
vad_private_pid_count,0.004496933110129711
vad_private_exec,0.004373456638758084
handle_file_ratio,0.004252880241110051
vad_pid_count,0.004089822814754395
handle_total,0.003918295745672994
handle_registry_count,0.003876303420966097
filescan_total,0.0037929657947192576
malfind_pid_count,0.0037416752528397516
handle_registry_ratio,0.003680748388916751
cmdline_count,0.003628959324780906
malfind_rwx_region_count,0.003556627734426925
pslist_unique_names,0.0034291272421765177
ldrmodules_suspicious_path_ratio,0.0033341363621831504
pslist_ransom_procs,0.003127980180585006
ldrmodules_suspicious_path_pid_count,0.0030827531424999287
cmdline_unusual_dir_count,0.0030491114789254763
dlllist_unusual_path_pid_count,0.002736558828826432
malfind_injected_pid_count,0.00266647679509122
cmdline_max_length,0.002521500611578892
dlllist_crypto_hit_count,0.0024422555701120578
svcscan_total,0.0023937834771162085
cmdline_suspicious_count,0.0023644271118464597
malfind_exe_regions,0.0022460503816428734
dlllist_total,0.002219900140313514
svcscan_security_stopped,0.001864392442276644
ldrmodules_max_per_process,0.001711255530534553
dlllist_avg_per_process,0.001678573045984787
netstat_tcp_pid_count,0.0015794464579822686
ldrmodules_not_in_load,0.001536247833643762
ldrmodules_not_in_init,0.0015072415661022858
svcscan_running,0.0013480733616049365
ldrmodules_avg_per_process,0.0012955598605592364
malfind_private,0.0012715774469853095
dlllist_non_system,0.0012295895762063703
ldrmodules_suspicious_path_hit_count,0.001227573868781909
dlllist_avg_load_total_per_process,0.0011801814446143132
netstat_outbound_pid_count,0.0011474702658501844
malfind_rwx_pid_count,0.0011166312070425627
ldrmodules_total,0.0010870818303185827
dlllist_crypto_pid_count,0.0009947559948308296
ldrmodules_not_in_mem,0.0008862569024277241
cmdline_script_tool_count,0.0007508237234287383
netstat_total,0.000741430512764753
malfind_count,0.000560482785743147
netstat_listening_pid_count,0.0005271882593433457
malfind_rwx_ratio,0.00045347312363716987
netstat_pid_count,0.00044587369048389104
malfind_max_regions_per_process,0.0004108894246480861
netstat_established_pid_count,0.0003692354636453541
dlllist_avg_max_loadcount_per_process,0.0002984324576227446
vad_rwx_pid_count,0.0002719745825008823
netstat_established,0.00013083098804864146
netstat_unique_ips,8.862612011949515e-05
netstat_outbound_count,1.0071800586928674e-05
netstat_udp_pid_count,5.948580369720696e-18
handle_encrypted_files,4.717136693958879e-18
filescan_ransom_notes,2.9081914967995647e-18
pslist_avg_handles,0.0
pslist_avg_runtimes,0.0
cmdline_script_exec_count,0.0
vad_avg_total_mem_per_process,0.0
ldrmodules_hidden_count,0.0
cmdline_encoded_count,0.0
dlllist_crypto_dlls,0.0
cmdline_ransom_indicators,0.0
pslist_max_runtimes,0.0
cmdline_sus_args_count,0.0
vad_max_total_mem_per_process,0.0
vad_avg_max_region_size_per_process,0.0
netstat_suspicious_port_hit_count,0.0
netstat_avg_unique_ips_per_process,0.0
netstat_max_connections_per_process,0.0
netstat_suspicious_port_pid_count,0.0
cmdline_script_exec_ratio,0.0
netstat_suspicious_port_ratio,0.0
cmdline_encoded_ratio,0.0
