feature,importance
netstat_total,0.1326588
pslist_avg_threads,0.13252486
netstat_listening,0.13062601
ldrmodules_total,0.12034119
handle_total,0.08235131
handle_thread_count,0.059558146
dlllist_avg_per_process,0.03637132
ldrmodules_not_in_init,0.03635631
psscan_count,0.036006052
svcscan_running,0.033379912
vad_exec_count,0.031171205
ldrmodules_not_in_load,0.030755838
pslist_count,0.025894206
vad_total,0.01713436
handle_mutex_count,0.015646474
dlllist_total,0.014386118
priv_total_enabled,0.011066585
malfind_count,0.008205689
handle_registry_count,0.008010759
svcscan_total,0.0066003585
filescan_total,0.0059962757
handle_process_count,0.0054388316
malfind_private,0.004591277
malfind_exe_regions,0.0041183988
cmdline_suspicious_count,0.0035891926
handle_file_count,0.002905148
dlllist_non_system,0.0022071854
pslist_unique_names,0.0011458409
dlllist_unique_dlls,0.0009623548
cmdline_with_args,0.0
cmdline_count,0.0
hidden_process_count,0.0
pslist_wow64_count,0.0
pslist_avg_handles,0.0
pslist_exited_count,0.0
ldrmodules_not_in_mem,0.0
vad_private_exec,0.0
ldrmodules_hidden_count,0.0
filescan_encrypted,0.0
handle_encrypted_files,0.0
priv_sedebug_count,0.0
svcscan_stopped,0.0
netstat_established,0.0
netstat_unique_ips,0.0
