held_out,family,accuracy,n_test
Benign::rep1,Benign,1.0,5
Benign::rep10,Benign,0.8,5
Benign::rep2,Benign,1.0,5
Benign::rep3,Benign,0.8,5
Benign::rep4,Benign,1.0,5
Benign::rep5,Benign,0.8,5
Benign::rep6,Benign,1.0,5
Benign::rep7,Benign,0.8,5
Benign::rep8,Benign,1.0,5
Benign::rep9,Benign,1.0,5
Cerber::rep1,Cerber,1.0,8
Cerber::rep2,Cerber,1.0,10
Cerber::rep3,Cerber,1.0,11
Cerber::rep4,Cerber,0.9090909090909091,11
Cerber::rep5,Cerber,1.0,11
Dharma::rep1,Dharma,1.0,11
Dharma::rep2,Dharma,1.0,11
Dharma::rep3,Dharma,1.0,11
Dharma::rep4,Dharma,1.0,11
Dharma::rep5,Dharma,0.9090909090909091,11
Jigsaw::rep1,Jigsaw,1.0,11
Jigsaw::rep2,Jigsaw,1.0,11
Jigsaw::rep3,Jigsaw,1.0,11
Jigsaw::rep4,Jigsaw,1.0,11
Jigsaw::rep5,Jigsaw,1.0,11
WannaCry::rep1,WannaCry,1.0,11
WannaCry::rep2,WannaCry,1.0,11
WannaCry::rep3,WannaCry,1.0,11
WannaCry::rep4,WannaCry,1.0,11
WannaCry::rep5,WannaCry,1.0,11
