label,scenario,model,mean_accuracy,acc_ci95_lo,acc_ci95_hi,mean_balanced_acc,mean_macro_f1,f1_ci95_lo,f1_ci95_hi,mean_weighted_f1,benign_fpr,wtd_macro_f1,n_folds,n_instances
stage_binary,LOIO,ExtraTrees,0.9758,0.9502,1.0013,0.9756,0.974,0.9465,1.0015,0.9758,,0.9678,,30.0
stage_binary,LOIO,GradientBoosting,0.9694,0.9393,0.9995,0.9623,0.9632,0.9264,0.9999,0.9675,,0.9548,,30.0
stage_binary,LOIO,RandomForest,0.9686,0.942,0.9951,0.9704,0.9642,0.9319,0.9966,0.9678,,0.9572,,30.0
stage_binary,LOIO,LogisticRegression,0.9658,0.9433,0.9882,0.9634,0.9503,0.9094,0.9912,0.9681,,0.9514,,30.0
stage_binary,LOIO,XGBoost,0.9583,0.924,0.9926,0.9502,0.95,0.9078,0.9922,0.9567,,0.9417,,30.0
behavior_stage,LOIO,GradientBoosting,0.9582,0.9325,0.9838,0.9378,0.9003,0.8337,0.9669,0.9568,,0.9041,,30.0
stage_hint,LOIO,XGBoost,0.9573,0.9256,0.989,0.9479,0.944,0.9024,0.9856,0.9552,,0.9309,,30.0
behavior_stage,LOIO,XGBoost,0.9555,0.9317,0.9793,0.8968,0.8546,0.7756,0.9336,0.9528,,0.8485,,30.0
stage_hint,LOIO,RandomForest,0.9515,0.9126,0.9904,0.941,0.9427,0.8969,0.9885,0.9471,,0.9289,,30.0
stage_hint,LOIO,GradientBoosting,0.9482,0.9112,0.9852,0.9424,0.9323,0.8846,0.9801,0.9513,,0.9165,,30.0
behavior_stage,LOIO,LogisticRegression,0.9403,0.9156,0.9651,0.9122,0.8475,0.7753,0.9197,0.9416,,0.8345,,30.0
stage_hint,LOIO,ExtraTrees,0.9391,0.8987,0.9795,0.934,0.9301,0.8795,0.9807,0.9354,,0.9137,,30.0
stage_hint,LOIO,LogisticRegression,0.9289,0.8908,0.9669,0.9359,0.9192,0.8734,0.965,0.9249,,0.9017,,30.0
behavior_stage,LOIO,ExtraTrees,0.8758,0.8313,0.9202,0.842,0.7521,0.6706,0.8336,0.8853,,0.7328,,30.0
behavior_stage,LOIO,RandomForest,0.8755,0.8336,0.9174,0.809,0.7244,0.6383,0.8105,0.88,,0.7069,,30.0
stage_binary,LOO,GradientBoosting,0.8692,0.797,0.9413,0.8554,0.8522,0.7649,0.9396,0.8667,0.8,0.8537,4.0,
stage_binary,LOO,XGBoost,0.857,0.8032,0.9107,0.8796,0.8526,0.7994,0.9059,0.8597,0.84,0.8523,4.0,
stage_binary,LOO,RandomForest,0.8506,0.7371,0.9641,0.8708,0.8463,0.7311,0.9615,0.8529,0.88,0.8477,4.0,
stage_binary,LOO,ExtraTrees,0.8021,0.7363,0.8678,0.8276,0.7973,0.7328,0.8618,0.8055,0.9,0.7963,4.0,
stage_binary,LOO,LogisticRegression,0.7793,0.6626,0.896,0.8124,0.7742,0.6592,0.8892,0.7786,0.54,0.7728,4.0,
stage_hint,LOO,XGBoost,0.6443,0.5863,0.7023,0.6051,0.5567,0.4516,0.6617,0.6406,0.94,0.5551,4.0,
stage_hint,LOO,ExtraTrees,0.6272,0.4952,0.7592,0.5981,0.5295,0.3496,0.7093,0.6397,0.98,0.5279,4.0,
stage_hint,LOO,GradientBoosting,0.6072,0.4665,0.7479,0.5879,0.517,0.3045,0.7295,0.5927,0.86,0.5152,4.0,
stage_hint,LOO,RandomForest,0.5743,0.4486,0.7001,0.555,0.4547,0.2879,0.6215,0.5609,0.98,0.4557,4.0,
stage_hint,LOO,LogisticRegression,0.497,0.3182,0.6759,0.5196,0.4454,0.2871,0.6037,0.5229,0.82,0.4439,4.0,
behavior_stage,LOO,LogisticRegression,0.3643,0.1234,0.6053,0.3557,0.24,0.1248,0.3553,0.4012,0.88,0.243,4.0,
behavior_stage,LOO,GradientBoosting,0.357,0.0781,0.636,0.4072,0.2912,0.1358,0.4467,0.3722,0.9,0.293,4.0,
behavior_stage,LOO,XGBoost,0.3374,0.0299,0.645,0.4206,0.2672,0.0745,0.4598,0.364,0.98,0.2705,4.0,
behavior_stage,LOO,RandomForest,0.3199,0.0108,0.6291,0.3883,0.2302,0.0144,0.4459,0.3286,1.0,0.2319,4.0,
behavior_stage,LOO,ExtraTrees,0.242,-0.0203,0.5042,0.2905,0.1932,-0.0215,0.408,0.2693,1.0,0.1952,4.0,
