label,scenario,model,mean_accuracy,acc_ci95_lo,acc_ci95_hi,mean_balanced_acc,mean_macro_f1,f1_ci95_lo,f1_ci95_hi,mean_weighted_f1,train_accuracy,overfit_gap,conf_mean,conf_pct_90,n_train,n_test,wtd_macro_f1,n_instances,benign_fpr,n_folds
stage_hint,Standard 80/20,RandomForest,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.9933,1.0,84.0,21.0,,,,
stage_hint,Standard 80/20,ExtraTrees,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.9883,1.0,84.0,21.0,,,,
stage_hint,Standard 80/20,GradientBoosting,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.9678,0.9524,84.0,21.0,,,,
stage_hint,Standard 80/20,LogisticRegression,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.9603,0.9048,84.0,21.0,,,,
stage_hint,Standard 80/20,XGBoost,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.7747,0.4286,84.0,21.0,,,,
stage_hint,LOIO,ExtraTrees,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,1.0,15.0,,
stage_hint,LOIO,LogisticRegression,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,1.0,15.0,,
stage_binary,Standard 80/20,RandomForest,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.9716,0.9524,84.0,21.0,,,,
stage_binary,Standard 80/20,LogisticRegression,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.9693,0.9524,84.0,21.0,,,,
stage_binary,Standard 80/20,GradientBoosting,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,84.0,21.0,,,,
stage_binary,Standard 80/20,ExtraTrees,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.9848,0.9524,84.0,21.0,,,,
stage_binary,LOIO,LogisticRegression,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,1.0,15.0,,
stage_binary,LOIO,ExtraTrees,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,1.0,15.0,,
stage_binary,LOIO,RandomForest,0.9939,0.9821,1.0058,0.9952,0.9937,0.9815,1.006,0.994,,,,,,,0.9902,15.0,,
stage_hint,LOIO,XGBoost,0.9939,0.9821,1.0058,0.9917,0.9926,0.9781,1.0071,0.9933,,,,,,,0.9884,15.0,,
stage_hint,LOIO,RandomForest,0.9879,0.9641,1.0116,0.9917,0.9903,0.9712,1.0093,0.9874,,,,,,,0.9847,15.0,,
stage_binary,LOIO,GradientBoosting,0.9879,0.9717,1.0041,0.9869,0.9867,0.969,1.0045,0.9877,,,,,,,0.9792,15.0,,
stage_hint,LOIO,GradientBoosting,0.9818,0.956,1.0076,0.9792,0.9795,0.9479,1.0111,0.9811,,,,,,,0.9678,15.0,,
stage_binary,LOIO,XGBoost,0.9758,0.9485,1.0031,0.981,0.9752,0.9475,1.003,0.9762,,,,,,,0.9611,15.0,,
stage_binary,Standard 80/20,XGBoost,0.9524,0.8571,1.0,0.9286,0.9443,0.8151,1.0,0.9514,1.0,0.0476,0.7965,0.2857,84.0,21.0,,,,
behavior_stage,Standard 80/20,RandomForest,0.9524,0.8571,1.0,0.875,0.8939,0.6874,1.0,0.9466,0.9643,0.0119,0.8195,0.5238,84.0,21.0,,,,
behavior_stage,Standard 80/20,ExtraTrees,0.9048,0.7619,1.0,0.825,0.853,0.5958,1.0,0.8976,0.9762,0.0714,0.8052,0.4762,84.0,21.0,,,,
behavior_stage,Standard 80/20,XGBoost,0.9048,0.7619,1.0,0.825,0.853,0.5958,1.0,0.8976,0.9762,0.0714,0.7858,0.3333,84.0,21.0,,,,
behavior_stage,LOIO,ExtraTrees,0.9285,0.884,0.973,0.87,0.8303,0.7064,0.9542,0.9169,,,,,,,0.8603,15.0,,
behavior_stage,LOIO,GradientBoosting,0.9285,0.884,0.973,0.89,0.8165,0.6924,0.9405,0.9316,,,,,,,0.8386,15.0,,
behavior_stage,Standard 80/20,LogisticRegression,0.8571,0.7143,1.0,0.7972,0.8162,0.5487,1.0,0.8514,1.0,0.1429,0.9068,0.6667,84.0,21.0,,,,
behavior_stage,LOIO,RandomForest,0.9152,0.8658,0.9645,0.8585,0.7936,0.661,0.9262,0.9091,,,,,,,0.8343,15.0,,
behavior_stage,LOIO,XGBoost,0.9152,0.8689,0.9614,0.8578,0.7915,0.6609,0.9222,0.91,,,,,,,0.8312,15.0,,
behavior_stage,LOIO,LogisticRegression,0.8764,0.8203,0.9325,0.8455,0.7547,0.6299,0.8795,0.8898,,,,,,,0.7909,15.0,,
behavior_stage,Standard 80/20,GradientBoosting,0.8095,0.619,0.9524,0.725,0.752,0.4423,0.9543,0.8014,1.0,0.1905,0.9914,0.9524,84.0,21.0,,,,
behavior_stage,LOO,GradientBoosting,0.1818,0.1818,0.1818,0.1667,0.1515,0.1515,0.1515,0.2204,,,,,,,0.1515,,1.0,1.0
behavior_stage,LOO,LogisticRegression,0.1818,0.1818,0.1818,0.1667,0.1471,0.1471,0.1471,0.2139,,,,,,,0.1471,,1.0,1.0
behavior_stage,LOO,XGBoost,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,0.0,,0.88,1.0
behavior_stage,LOO,RandomForest,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,0.0,,0.72,1.0
behavior_stage,LOO,ExtraTrees,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,0.0,,0.66,1.0
