held_out,family,n_test,accuracy,balanced_acc,macro_f1,weighted_f1
Benign::rep1,Benign,10,1.0,1.0,1.0,1.0
Benign::rep10,Benign,5,0.8,0.8,0.4444,0.8889
Benign::rep2,Benign,10,1.0,1.0,1.0,1.0
Benign::rep3,Benign,10,1.0,1.0,1.0,1.0
Benign::rep4,Benign,10,1.0,1.0,1.0,1.0
Benign::rep5,Benign,10,1.0,1.0,1.0,1.0
Benign::rep6,Benign,5,1.0,1.0,1.0,1.0
Benign::rep7,Benign,5,1.0,1.0,1.0,1.0
Benign::rep8,Benign,5,1.0,1.0,1.0,1.0
Benign::rep9,Benign,5,1.0,1.0,1.0,1.0
Cerber::rep1,Cerber,13,0.9231,0.9524,0.9373,0.9244
Cerber::rep2,Cerber,15,0.8,0.725,0.7213,0.8163
Cerber::rep3,Cerber,16,0.875,0.7778,0.8215,0.8687
Cerber::rep4,Cerber,16,0.6875,0.5259,0.5123,0.6645
Cerber::rep5,Cerber,16,0.875,0.9028,0.8614,0.8784
Dharma::rep1,Dharma,16,0.8125,0.8175,0.8118,0.8132
Dharma::rep2,Dharma,16,0.8125,0.8167,0.5585,0.8388
Dharma::rep3,Dharma,16,0.875,0.6111,0.5936,0.8454
Dharma::rep4,Dharma,16,0.75,0.7091,0.4949,0.7708
Dharma::rep5,Dharma,16,0.6875,0.4722,0.4275,0.6807
Jigsaw::rep1,Jigsaw,16,0.875,0.8542,0.8542,0.875
Jigsaw::rep2,Jigsaw,16,0.875,0.8333,0.8201,0.8506
Jigsaw::rep3,Jigsaw,16,0.875,0.9,0.8542,0.8802
Jigsaw::rep4,Jigsaw,16,0.875,0.9143,0.828,0.9004
Jigsaw::rep5,Jigsaw,16,0.875,0.875,0.8791,0.8734
WannaCry::rep1,WannaCry,16,0.875,0.9286,0.8333,0.8958
WannaCry::rep2,WannaCry,16,0.9375,0.95,0.9444,0.9375
WannaCry::rep3,WannaCry,16,1.0,1.0,1.0,1.0
WannaCry::rep4,WannaCry,16,0.875,0.825,0.8389,0.8736
WannaCry::rep5,WannaCry,16,0.9375,0.875,0.8889,0.9306
