held_out,family,n_test,accuracy,balanced_acc,macro_f1,weighted_f1
Benign::rep1,Benign,10,1.0,1.0,1.0,1.0
Benign::rep10,Benign,5,1.0,1.0,1.0,1.0
Benign::rep2,Benign,10,1.0,1.0,1.0,1.0
Benign::rep3,Benign,10,1.0,1.0,1.0,1.0
Benign::rep4,Benign,10,1.0,1.0,1.0,1.0
Benign::rep5,Benign,10,1.0,1.0,1.0,1.0
Benign::rep6,Benign,5,0.8,0.8,0.4444,0.8889
Benign::rep7,Benign,5,1.0,1.0,1.0,1.0
Benign::rep8,Benign,5,1.0,1.0,1.0,1.0
Benign::rep9,Benign,5,1.0,1.0,1.0,1.0
Cerber::rep1,Cerber,13,0.6923,0.5357,0.3875,0.6615
Cerber::rep2,Cerber,15,0.8667,0.7917,0.8169,0.8586
Cerber::rep3,Cerber,16,0.875,0.6667,0.6296,0.8194
Cerber::rep4,Cerber,16,0.75,0.563,0.5333,0.7
Cerber::rep5,Cerber,16,0.8125,0.6111,0.4495,0.7854
Dharma::rep1,Dharma,16,0.875,0.8889,0.875,0.875
Dharma::rep2,Dharma,16,0.8125,0.85,0.5602,0.8361
Dharma::rep3,Dharma,16,0.8125,0.5926,0.5602,0.7847
Dharma::rep4,Dharma,16,0.9375,0.9545,0.9307,0.9389
Dharma::rep5,Dharma,16,0.75,0.5,0.4565,0.7459
Jigsaw::rep1,Jigsaw,16,0.8125,0.7976,0.7332,0.7945
Jigsaw::rep2,Jigsaw,16,0.75,0.7476,0.6889,0.7444
Jigsaw::rep3,Jigsaw,16,0.875,0.8393,0.7976,0.875
Jigsaw::rep4,Jigsaw,16,0.9375,0.9688,0.9,0.9458
Jigsaw::rep5,Jigsaw,16,0.8125,0.8125,0.7856,0.7695
WannaCry::rep1,WannaCry,16,0.875,0.9286,0.875,0.8854
WannaCry::rep2,WannaCry,16,0.9375,0.9583,0.9416,0.9391
WannaCry::rep3,WannaCry,16,0.9375,0.9583,0.9416,0.9391
WannaCry::rep4,WannaCry,16,0.9375,0.9583,0.9416,0.9391
WannaCry::rep5,WannaCry,16,0.9375,0.9583,0.9273,0.9409
