held_out,family,n_test,accuracy,balanced_acc,macro_f1,weighted_f1
Benign::rep1,Benign,10,1.0,1.0,1.0,1.0
Benign::rep10,Benign,5,0.8,0.8,0.4444,0.8889
Benign::rep2,Benign,10,1.0,1.0,1.0,1.0
Benign::rep3,Benign,10,1.0,1.0,1.0,1.0
Benign::rep4,Benign,10,1.0,1.0,1.0,1.0
Benign::rep5,Benign,10,1.0,1.0,1.0,1.0
Benign::rep6,Benign,5,1.0,1.0,1.0,1.0
Benign::rep7,Benign,5,1.0,1.0,1.0,1.0
Benign::rep8,Benign,5,1.0,1.0,1.0,1.0
Benign::rep9,Benign,5,1.0,1.0,1.0,1.0
Cerber::rep1,Cerber,13,0.9231,0.8333,0.8667,0.9128
Cerber::rep2,Cerber,15,0.9333,0.9583,0.9475,0.9341
Cerber::rep3,Cerber,16,0.9375,0.8333,0.8693,0.9289
Cerber::rep4,Cerber,16,0.9375,0.963,0.9501,0.9385
Cerber::rep5,Cerber,16,1.0,1.0,1.0,1.0
Dharma::rep1,Dharma,16,1.0,1.0,1.0,1.0
Dharma::rep2,Dharma,16,0.875,0.9,0.604,0.9017
Dharma::rep3,Dharma,16,0.875,0.6111,0.4641,0.8738
Dharma::rep4,Dharma,16,0.9375,0.9,0.9227,0.9354
Dharma::rep5,Dharma,16,0.875,0.5556,0.44,0.87
Jigsaw::rep1,Jigsaw,16,0.875,0.8667,0.8667,0.875
Jigsaw::rep2,Jigsaw,16,0.75,0.7333,0.6708,0.7469
Jigsaw::rep3,Jigsaw,16,0.8125,0.7976,0.7916,0.8284
Jigsaw::rep4,Jigsaw,16,0.875,0.9271,0.8356,0.9013
Jigsaw::rep5,Jigsaw,16,0.875,0.875,0.8712,0.8598
WannaCry::rep1,WannaCry,16,0.9375,0.9643,0.9308,0.9413
WannaCry::rep2,WannaCry,16,1.0,1.0,1.0,1.0
WannaCry::rep3,WannaCry,16,1.0,1.0,1.0,1.0
WannaCry::rep4,WannaCry,16,0.9375,0.9167,0.9222,0.9347
WannaCry::rep5,WannaCry,16,0.9375,0.875,0.8889,0.9306
