feature,importance
netstat_outbound_count,0.09021688
netstat_unique_ips,0.045549184
ldrmodules_not_in_mem,0.04427433
ldrmodules_not_in_load,0.036832955
dlllist_unusual_path_ratio,0.032529194
vad_private_exec,0.031331275
psscan_count,0.02506075
filescan_total,0.023558132
vad_exec_ratio,0.023414388
vad_avg_regions_per_process,0.022728585
netstat_total,0.02173778
vad_rwx_pid_count,0.020917088
ldrmodules_not_in_init,0.020384695
malfind_count,0.019432811
ldrmodules_suspicious_path_pid_count,0.018931104
priv_total_enabled,0.017468153
pslist_wow64_count,0.017079579
ldrmodules_total,0.01529741
handle_token_count,0.0152949365
tier1_composite,0.014027966
pslist_parent_missing_count,0.01398762
malfind_pid_count,0.013014106
ldrmodules_avg_per_process,0.012944645
malfind_max_regions_per_process,0.012911892
dlllist_unusual_path_pid_count,0.012562236
dlllist_max_load_total_per_process,0.012332415
malfind_private,0.012036523
pslist_wannacry_procs,0.011565952
handle_registry_count,0.011544928
malfind_avg_regions_per_process,0.011489417
hidden_process_count,0.011099383
netstat_outbound_ratio,0.010757164
vad_rwx_ratio,0.010756603
handle_mutex_count,0.010621543
handle_port_count,0.010599179
handle_semaphore_count,0.010563321
handle_mutex_ratio,0.010441205
vad_priv_exec_ratio,0.009735787
pslist_count,0.0091792345
cmdline_script_tool_count,0.008982078
handle_event_count,0.008868411
vad_total,0.008723151
vad_max_regions_per_process,0.008524561
malfind_rwx_ratio,0.008335053
dlllist_avg_load_total_per_process,0.0073645734
pslist_exited_count,0.00734328
handle_file_ratio,0.0068948762
malfind_rwx_region_count,0.0068529607
pslist_unique_names,0.006716012
handle_directory_count,0.0066007483
pslist_avg_children,0.006461225
handle_total,0.0063210675
dlllist_unusual_path_hit_count,0.0063150437
handle_file_count,0.005931242
cmdline_count,0.0059186546
signal_injection_score,0.005710547
vad_private_ratio,0.0056701107
netstat_listening,0.0055559603
vad_exec_count,0.005486166
svcscan_security_stopped,0.0050724465
svcscan_running,0.0049679778
handle_avg_per_process,0.004690818
ldrmodules_suspicious_path_ratio,0.0045945267
handle_thread_count,0.004563529
handle_desktop_count,0.0044401153
handle_process_count,0.0043729544
handle_registry_ratio,0.004296051
dlllist_crypto_ratio,0.004209222
vad_private_pid_count,0.00397743
ldrmodules_max_per_process,0.0038792817
handle_section_count,0.0036800858
svcscan_stopped,0.0034740567
handle_timer_count,0.0032855188
vad_private_region_count,0.0031309847
malfind_rwx_pid_count,0.0029584148
cmdline_unusual_dir_ratio,0.0029572912
dlllist_avg_max_loadcount_per_process,0.0029290793
dlllist_crypto_hit_count,0.00283285
pslist_avg_threads,0.0025743314
cmdline_unusual_dir_count,0.0024012483
pslist_max_children,0.0022278032
dlllist_avg_per_process,0.0020953221
cmdline_suspicious_count,0.002067851
vad_pid_count,0.0015348215
cmdline_with_args,0.0
malfind_private_exec,0.0
ldrmodules_suspicious_path_hit_count,0.0
vad_rwx_region_count,0.0
netstat_established,0.0
svcscan_total,0.0
netstat_smb_connections,0.0
netstat_established_ratio,0.0
