feature,importance
pslist_wow64_count,0.27408280431011883
pslist_parent_missing_count,0.08049306750847053
ldrmodules_not_in_init,0.05382824168806249
ldrmodules_not_in_load,0.04298312210923575
filescan_total,0.04050088550931347
vad_avg_regions_per_process,0.0385566316630895
cmdline_unusual_dir_ratio,0.03562008124803266
cmdline_avg_length,0.033273847886776384
cmdline_script_tool_count,0.031533669021872546
psscan_count,0.0284319881274284
netstat_total,0.027429350960951362
vad_total,0.024772016984452805
cmdline_unusual_dir_count,0.020736171154981956
cmdline_suspicious_count,0.019418145976336888
tier1_composite,0.019222777245587214
handle_semaphore_count,0.01901545058788795
pslist_exited_count,0.018032349402129912
ldrmodules_total,0.012301376229040796
vad_rwx_pid_count,0.011827570897304754
ldrmodules_avg_per_process,0.011529137569967573
vad_rwx_region_count,0.011378277464484991
dlllist_unusual_path_ratio,0.011250809134876305
vad_priv_exec_ratio,0.010899920656276917
hidden_process_count,0.009846386963053651
pslist_avg_children,0.009657686788095586
vad_private_region_count,0.00942681520255255
handle_avg_per_process,0.009062347671947546
handle_mutex_count,0.008513808657620104
ldrmodules_max_per_process,0.007998307762008522
svcscan_stopped,0.0064433946404782155
handle_file_ratio,0.0060714265859108905
handle_file_count,0.005586434358157444
pslist_avg_threads,0.004604465238680244
dlllist_avg_per_process,0.004553640062223031
handle_registry_count,0.004164155263636242
handle_thread_count,0.003849265931558048
vad_rwx_ratio,0.0037364375251243685
handle_section_count,0.003586334783069768
dlllist_total,0.0025664250511520793
dlllist_unique_dlls,0.0024264745402250805
handle_timer_count,0.0024103125848193825
handle_mutex_ratio,0.002250978483177111
vad_exec_count,0.0020718457181155125
pslist_ransom_procs,0.0020311237007043913
dlllist_crypto_ratio,0.001833092503615578
handle_token_count,0.001001665652757338
dlllist_unusual_path_hit_count,0.0009413082851511373
ldrmodules_not_in_mem,0.000828686368894498
dlllist_max_load_total_per_process,0.0007913045943874881
dlllist_non_system,0.0006460079284542561
handle_process_count,0.0006313414031683944
vad_private_ratio,0.0006211871767874321
malfind_private,0.0005486601767103785
malfind_rwx_ratio,0.0005421387387228058
ldrmodules_suspicious_path_hit_count,0.0004950431718192276
handle_registry_ratio,0.00038529417493223764
netstat_outbound_ratio,0.00034284360975767
dlllist_avg_load_total_per_process,0.0003401880844047839
dlllist_crypto_hit_count,0.0003196255213763346
handle_port_count,0.0002172393862988288
vad_private_exec,0.0002056144347714662
vad_max_regions_per_process,0.00017567016137525106
priv_total_enabled,0.00016672158987946474
ldrmodules_suspicious_path_pid_count,0.00016104733164041502
pslist_max_children,0.00013237497191866384
svcscan_running,0.00012995218054694807
vad_exec_ratio,0.00011663850566443082
svcscan_security_stopped,0.0001092516098016575
netstat_outbound_count,9.032595141697224e-05
handle_event_count,7.266427097741838e-05
malfind_rwx_region_count,4.603047594922346e-05
handle_total,3.934906902232384e-05
handle_directory_count,2.2946137450054888e-05
ldrmodules_suspicious_path_ratio,1.7394031151629002e-05
pslist_unique_names,1.541207699151712e-05
malfind_rwx_pid_count,1.4481783664530433e-05
signal_injection_score,1.2201910982602998e-05
malfind_avg_regions_per_process,7.860959235314637e-06
svcscan_total,1.519066302060374e-06
netstat_established_ratio,9.718614631581627e-07
netstat_unique_ips,9.756737253296405e-08
dlllist_avg_max_loadcount_per_process,6.060793560156364e-08
malfind_max_regions_per_process,2.324153695907209e-08
malfind_count,2.5464377293326453e-09
vad_private_pid_count,2.4718802206006756e-11
vad_pid_count,3.23139823430172e-12
pslist_count,2.029391222344099e-12
cmdline_count,2.4721687843786157e-13
cmdline_with_args,4.757192495389902e-14
handle_desktop_count,9.67662554101115e-15
pslist_wannacry_procs,0.0
cmdline_max_length,0.0
dlllist_unusual_path_pid_count,0.0
malfind_private_exec,0.0
malfind_pid_count,0.0
netstat_established,0.0
