label,scenario,model,mean_accuracy,acc_ci95_lo,acc_ci95_hi,mean_balanced_acc,mean_macro_f1,f1_ci95_lo,f1_ci95_hi,mean_weighted_f1,train_accuracy,overfit_gap,conf_mean,conf_pct_90,n_train,n_test
stage_binary,Standard 80/20,GradientBoosting,0.988,0.9639,1.0,0.9839,0.987,0.9584,1.0,0.9879,1.0,0.012,1.0,1.0,328,83
stage_binary,Standard 80/20,XGBoost,0.988,0.9639,1.0,0.9839,0.987,0.9584,1.0,0.9879,1.0,0.012,0.965,1.0,328,83
stage_binary,Standard 80/20,LogisticRegression,0.9759,0.9398,1.0,0.9808,0.9746,0.9332,1.0,0.976,0.9909,0.015,0.9487,0.8434,328,83
stage_binary,Standard 80/20,RandomForest,0.9759,0.9398,1.0,0.9677,0.9739,0.932,1.0,0.9757,1.0,0.0241,0.9974,0.988,328,83
stage_binary,Standard 80/20,ExtraTrees,0.9759,0.9398,1.0,0.9677,0.9739,0.932,1.0,0.9757,0.997,0.0211,0.9819,0.9398,328,83
behavior_stage,Standard 80/20,XGBoost,0.9518,0.9036,0.988,0.9636,0.95,0.8951,0.9896,0.952,1.0,0.0482,0.9163,0.7108,328,83
behavior_stage,Standard 80/20,RandomForest,0.9157,0.8554,0.9759,0.9326,0.9204,0.8554,0.9724,0.9153,0.9726,0.0569,0.9489,0.8675,328,83
behavior_stage,Standard 80/20,GradientBoosting,0.9157,0.8551,0.9642,0.9242,0.918,0.8475,0.9703,0.9144,1.0,0.0843,0.9876,0.9639,328,83
behavior_stage,Standard 80/20,ExtraTrees,0.8916,0.8193,0.9518,0.922,0.8858,0.8149,0.947,0.8946,0.9573,0.0657,0.9173,0.7952,328,83
behavior_stage,Standard 80/20,LogisticRegression,0.8795,0.7952,0.9398,0.8962,0.8749,0.7899,0.9373,0.8808,0.9665,0.087,0.8991,0.6867,328,83
