held_out,family,n_test,accuracy,balanced_acc,macro_f1,weighted_f1
Benign::rep1,Benign,15,1.0,1.0,1.0,1.0
Benign::rep10,Benign,5,0.8,0.8,0.4444,0.8889
Benign::rep2,Benign,15,1.0,1.0,1.0,1.0
Benign::rep3,Benign,15,1.0,1.0,1.0,1.0
Benign::rep4,Benign,15,1.0,1.0,1.0,1.0
Benign::rep5,Benign,15,1.0,1.0,1.0,1.0
Benign::rep6,Benign,5,1.0,1.0,1.0,1.0
Benign::rep7,Benign,5,1.0,1.0,1.0,1.0
Benign::rep8,Benign,5,1.0,1.0,1.0,1.0
Benign::rep9,Benign,5,1.0,1.0,1.0,1.0
Cerber::rep1,Cerber,18,1.0,1.0,1.0,1.0
Cerber::rep2,Cerber,20,0.95,0.9697,0.9585,0.9507
Cerber::rep3,Cerber,21,1.0,1.0,1.0,1.0
Cerber::rep4,Cerber,21,0.9524,0.9722,0.9599,0.9532
Cerber::rep5,Cerber,21,1.0,1.0,1.0,1.0
Dharma::rep1,Dharma,21,0.9048,0.9231,0.6193,0.926
Dharma::rep2,Dharma,21,0.8571,0.8929,0.8518,0.8612
Dharma::rep3,Dharma,21,0.9048,0.641,0.6117,0.886
Dharma::rep4,Dharma,21,1.0,1.0,1.0,1.0
Dharma::rep5,Dharma,21,0.8095,0.5417,0.5011,0.8025
WannaCry::rep1,WannaCry,21,0.8095,0.8583,0.7884,0.8207
WannaCry::rep2,WannaCry,21,0.8095,0.8009,0.7833,0.8226
WannaCry::rep3,WannaCry,21,0.8571,0.8222,0.8005,0.8635
WannaCry::rep4,WannaCry,21,0.8095,0.8056,0.7804,0.8157
WannaCry::rep5,WannaCry,21,0.8571,0.8519,0.8419,0.8561
