family,stage_hint,behavior_stage,actual_offset_s,target_offset_s,rep,run,snap_name,snap_dir,pslist_count,pslist_unique_names,pslist_avg_threads,pslist_avg_handles,pslist_wow64_count,pslist_exited_count,pslist_ransom_procs,pslist_avg_runtimes,pslist_max_runtimes,pslist_avg_children,pslist_max_children,pslist_parent_missing_count,psscan_count,hidden_process_count,cmdline_count,cmdline_with_args,cmdline_suspicious_count,cmdline_avg_length,cmdline_max_length,cmdline_sus_args_count,cmdline_script_exec_count,cmdline_unusual_dir_count,cmdline_script_tool_count,cmdline_encoded_count,cmdline_ransom_indicators,dlllist_total,dlllist_unique_dlls,dlllist_avg_per_process,dlllist_non_system,dlllist_avg_load_total_per_process,dlllist_max_load_total_per_process,dlllist_avg_max_loadcount_per_process,dlllist_unusual_path_pid_count,dlllist_unusual_path_hit_count,dlllist_crypto_pid_count,dlllist_crypto_hit_count,dlllist_crypto_dlls,ldrmodules_total,ldrmodules_not_in_load,ldrmodules_not_in_init,ldrmodules_not_in_mem,ldrmodules_hidden_count,ldrmodules_avg_per_process,ldrmodules_max_per_process,ldrmodules_suspicious_path_pid_count,ldrmodules_suspicious_path_hit_count,vad_total,vad_exec_count,vad_private_exec,vad_pid_count,vad_avg_regions_per_process,vad_max_regions_per_process,vad_avg_total_mem_per_process,vad_max_total_mem_per_process,vad_avg_max_region_size_per_process,vad_private_pid_count,vad_private_region_count,vad_rwx_pid_count,vad_rwx_region_count,malfind_count,malfind_mz_regions,malfind_rwx_region_count,malfind_private,malfind_private_exec,malfind_shellcode_regions,malfind_pid_count,malfind_avg_regions_per_process,malfind_max_regions_per_process,malfind_rwx_pid_count,handle_total,handle_avg_per_process,handle_file_count,handle_registry_count,handle_mutex_count,handle_process_count,handle_thread_count,handle_port_count,handle_event_count,handle_section_count,handle_semaphore_count,handle_timer_count,handle_desktop_count,handle_directory_count,handle_token_count,handle_file_ratio,handle_registry_ratio,handle_mutex_ratio,handle_encrypted_files,filescan_total,filescan_encrypted,filescan_ransom_notes,svcscan_total,svcscan_running,svcscan_stopped,svcscan_security_stopped,priv_total_enabled,vad_exec_ratio,vad_priv_exec_ratio,vad_rwx_ratio,vad_private_ratio,ldrmodules_hidden_ratio,ldrmodules_suspicious_path_ratio,filescan_encrypted_ratio,netstat_established_ratio,netstat_outbound_ratio,netstat_suspicious_port_ratio,cmdline_encoded_ratio,cmdline_script_exec_ratio,cmdline_unusual_dir_ratio,dlllist_unusual_path_ratio,dlllist_crypto_ratio,malfind_rwx_ratio
Cerber,1,1,5,5,1,1,Cerber_T005_rep01_045659,D:/Patrick/VMSnapshots/Datasets/Cerber_20260413_045623\T005_rep01,101,55,13.74,0,4,4,0,0,0,5.0,40,5,110,9,101,101,1,74.94,1037,0,0,5,0,0,0,5213,926,62.81,5604,336.93,1640.0,5.86,7,73,75,175,7,1068,66,101,66,0,25.43,108,2,3,17586,6024,25,97,181.3,2280,0.0,0.0,0.0,96,7672,5,20,11,3,9,11,11,0,6,1.83,5,4,42058,489.05,1905,3570,796,913,1803,2257,10992,1234,1860,985,85,213,701,0.0453,0.0849,0.0189,0,6012,1,0,635,221,413,5,1187,0.3425,0.0014,0.0011,0.4363,0.0,0.0028,0.0002,0,0,0,0.0,0.0,0.0495,0.014,0.0336,0.8182
Cerber,1,1,5,5,2,6,Cerber_T005_rep02_051153,D:/Patrick/VMSnapshots/Datasets/Cerber_20260413_045623\T005_rep02,101,55,13.26,0,4,4,0,0,0,5.0,40,5,110,9,101,101,1,74.94,1037,0,0,5,0,0,0,5214,927,62.82,5604,336.93,1640.0,5.86,7,74,75,175,7,1068,66,101,66,0,25.43,108,2,3,17505,6023,24,97,180.46,2243,0.0,0.0,0.0,96,7586,5,20,12,3,9,12,12,0,6,2.0,5,4,42015,488.55,1906,3601,828,913,1731,2262,10928,1237,1860,986,85,213,699,0.0454,0.0857,0.0197,0,6002,1,0,635,221,413,5,1187,0.3441,0.0014,0.0011,0.4334,0.0,0.0028,0.0002,0,0,0,0.0,0.0,0.0495,0.0142,0.0336,0.75
Cerber,1,1,5,5,3,11,Cerber_T005_rep03_052643,D:/Patrick/VMSnapshots/Datasets/Cerber_20260413_045623\T005_rep03,100,55,13.31,0,3,4,0,0,0,4.95,39,5,110,10,100,100,1,74.91,1037,0,0,5,0,0,0,5152,925,62.83,5541,340.93,1640.0,5.85,7,73,74,173,7,1000,60,94,60,0,24.39,107,2,3,17327,5961,24,96,180.49,2205,0.0,0.0,0.0,95,7506,5,20,10,3,9,10,10,0,5,2.0,5,4,41643,489.92,1892,3561,820,904,1732,2231,10836,1227,1848,975,84,209,693,0.0454,0.0855,0.0197,0,6001,1,0,635,220,414,5,1159,0.344,0.0014,0.0012,0.4332,0.0,0.003,0.0002,0,0,0,0.0,0.0,0.05,0.0142,0.0336,0.9
Cerber,1,1,5,5,4,16,Cerber_T005_rep04_054105,D:/Patrick/VMSnapshots/Datasets/Cerber_20260413_045623\T005_rep04,100,55,13.27,0,3,4,0,0,0,4.95,39,5,108,8,100,100,1,74.91,1037,0,0,5,0,0,0,5152,925,62.83,5541,340.93,1640.0,5.85,7,73,74,173,7,1005,60,94,60,0,24.51,109,2,3,17391,5961,24,96,181.16,2275,0.0,0.0,0.0,95,7573,5,20,12,3,9,12,12,0,6,2.0,5,4,41614,489.58,1890,3564,804,904,1717,2231,10833,1226,1847,975,84,209,693,0.0454,0.0856,0.0193,0,5999,1,0,635,220,414,5,1159,0.3428,0.0014,0.0012,0.4355,0.0,0.003,0.0002,0,0,0,0.0,0.0,0.05,0.0142,0.0336,0.75
Cerber,1,1,5,5,5,21,Cerber_T005_rep05_055542,D:/Patrick/VMSnapshots/Datasets/Cerber_20260413_045623\T005_rep05,101,55,13.23,0,4,4,0,0,0,5.0,40,5,111,10,101,101,1,74.94,1037,0,0,5,0,0,0,5213,926,62.81,5604,336.93,1640.0,5.86,7,73,75,175,7,1073,68,103,68,0,24.95,110,2,3,17509,6023,24,97,180.51,2249,0.0,0.0,0.0,96,7591,5,20,11,3,9,11,11,0,6,1.83,5,4,41998,488.35,1903,3594,812,913,1724,2261,10944,1237,1860,986,85,213,702,0.0453,0.0856,0.0193,0,6012,1,0,635,221,413,5,1187,0.344,0.0014,0.0011,0.4335,0.0,0.0028,0.0002,0,0,0,0.0,0.0,0.0495,0.014,0.0336,0.8182
Cerber,1,2,10,10,1,2,Cerber_T010_rep01_045939,D:/Patrick/VMSnapshots/Datasets/Cerber_20260413_045623\T010_rep01,100,55,13.29,0,2,4,0,0,0,4.95,39,5,110,10,100,100,1,71.79,1037,0,0,5,0,0,0,4879,903,64.2,5256,350.62,1640.0,5.84,7,73,67,161,7,974,59,93,59,0,23.76,105,2,3,17422,5946,24,96,181.48,2308,0.0,0.0,0.0,95,7609,5,20,13,3,9,13,13,0,6,2.17,5,4,40387,504.84,1824,3494,810,901,1690,2185,10546,1219,1799,922,79,197,665,0.0452,0.0865,0.0201,0,6038,15,0,635,220,414,5,1136,0.3413,0.0014,0.0011,0.4367,0.0,0.0031,0.0025,0,0,0,0.0,0.0,0.05,0.015,0.033,0.6923
Cerber,1,2,10,10,2,7,Cerber_T010_rep02_051423,D:/Patrick/VMSnapshots/Datasets/Cerber_20260413_045623\T010_rep02,102,55,13.23,0,4,4,0,0,0,5.05,40,5,109,7,102,102,1,72.15,1037,0,0,5,0,0,0,4984,905,63.9,5364,341.86,1640.0,5.85,7,73,69,165,7,1080,67,103,67,0,25.12,106,2,3,17710,6052,24,98,180.71,2340,0.0,0.0,0.0,97,7720,5,20,13,3,9,13,13,0,6,2.17,5,4,41062,500.76,1848,3543,854,919,1710,2230,10695,1235,1820,940,81,205,673,0.045,0.0863,0.0208,0,6037,15,0,635,221,413,5,1192,0.3417,0.0014,0.0011,0.4359,0.0,0.0028,0.0025,0,0,0,0.0,0.0,0.049,0.0146,0.0331,0.6923
Cerber,1,2,10,10,3,12,Cerber_T010_rep03_052907,D:/Patrick/VMSnapshots/Datasets/Cerber_20260413_045623\T010_rep03,101,55,13.2,0,3,4,0,0,0,5.0,39,5,110,9,101,101,1,72.58,1037,0,0,5,0,0,0,4963,905,63.63,5347,344.83,1640.0,5.85,7,73,69,164,7,1016,61,96,61,0,24.19,106,2,3,17476,5990,24,97,180.16,2263,0.0,0.0,0.0,96,7590,5,20,13,3,9,13,13,0,6,2.17,5,4,40608,501.33,1829,3501,814,910,1696,2199,10580,1222,1809,937,80,201,684,0.045,0.0862,0.02,0,6089,15,0,635,220,414,5,1164,0.3428,0.0014,0.0011,0.4343,0.0,0.003,0.0025,0,0,0,0.0,0.0,0.0495,0.0147,0.033,0.6923
Cerber,1,2,10,10,4,17,Cerber_T010_rep04_054335,D:/Patrick/VMSnapshots/Datasets/Cerber_20260413_045623\T010_rep04,102,55,13.22,0,4,4,0,0,0,4.81,40,5,106,4,102,102,2,97.38,2676,0,0,5,0,0,0,4996,906,64.05,5377,341.86,1640.0,5.85,7,73,69,165,7,1103,70,106,70,0,25.65,105,2,3,17650,6065,24,98,180.1,2270,0.0,0.0,0.0,97,7649,5,20,13,3,9,13,13,0,6,2.17,5,4,41111,501.35,1847,3548,819,919,1711,2236,10720,1234,1822,940,81,205,674,0.0449,0.0863,0.0199,0,6042,15,0,635,221,413,5,1192,0.3436,0.0014,0.0011,0.4334,0.0,0.0027,0.0025,0,0,0,0.0,0.0,0.049,0.0146,0.033,0.6923
Cerber,1,2,10,10,5,22,Cerber_T010_rep05_055753,D:/Patrick/VMSnapshots/Datasets/Cerber_20260413_045623\T010_rep05,102,55,13.28,0,4,4,0,0,0,5.05,40,4,105,3,102,102,1,72.15,1037,0,0,5,0,0,0,4983,905,63.88,5364,341.86,1640.0,5.85,7,73,69,165,7,1080,67,103,67,0,25.12,103,2,3,17711,6052,24,98,180.72,2342,0.0,0.0,0.0,97,7722,5,20,13,3,9,13,13,0,6,2.17,5,4,41060,500.73,1848,3538,853,919,1716,2230,10685,1236,1819,939,81,205,673,0.045,0.0862,0.0208,0,6061,15,0,635,221,413,5,1192,0.3417,0.0014,0.0011,0.436,0.0,0.0028,0.0025,0,0,0,0.0,0.0,0.049,0.0146,0.0331,0.6923
Cerber,2,2,20,20,1,3,Cerber_T020_rep01_050224,D:/Patrick/VMSnapshots/Datasets/Cerber_20260413_045623\T020_rep01,100,55,12.93,0,4,3,0,0,0,4.71,38,6,107,7,100,100,3,115.32,1123,0,0,9,1,0,0,4867,891,52.9,5255,278.91,1640.0,5.41,7,73,68,158,7,1045,60,101,60,0,21.77,103,2,3,17673,6028,15,97,182.2,2364,0.0,0.0,0.0,96,7703,4,15,4,0,4,4,4,0,3,1.33,2,3,41086,507.23,1842,3575,865,914,1683,2203,10742,1264,1804,937,81,204,660,0.0448,0.087,0.0211,0,6085,14,0,635,219,415,5,1175,0.3411,0.0008,0.0008,0.4359,0.0,0.0029,0.0023,0,0,0,0.0,0.0,0.09,0.015,0.0325,1.0
Cerber,2,2,20,20,2,8,Cerber_T020_rep02_051706,D:/Patrick/VMSnapshots/Datasets/Cerber_20260413_045623\T020_rep02,99,55,13.06,0,3,3,0,0,0,4.67,38,6,105,6,99,99,3,115.43,1123,0,0,9,1,0,0,4817,890,52.93,5200,281.22,1640.0,5.34,7,73,67,156,7,1017,64,104,64,0,20.76,102,2,3,17487,5984,15,96,182.16,2275,0.0,0.0,0.0,95,7589,4,15,4,0,4,4,4,0,3,1.33,2,3,40817,510.21,1834,3547,845,905,1694,2188,10682,1264,1795,928,80,200,662,0.0449,0.0869,0.0207,0,6103,14,0,635,219,415,5,1147,0.3422,0.0009,0.0009,0.434,0.0,0.0029,0.0023,0,0,0,0.0,0.0,0.0909,0.0152,0.0324,1.0
Cerber,2,2,20,20,3,13,Cerber_T020_rep03_053146,D:/Patrick/VMSnapshots/Datasets/Cerber_20260413_045623\T020_rep03,99,55,13.07,0,3,3,0,0,0,4.67,38,6,105,6,99,99,3,115.4,1123,0,0,9,1,0,0,4818,890,52.95,5200,281.22,1640.0,5.34,7,73,67,156,7,1016,62,101,62,0,21.62,102,2,3,17593,5984,15,96,183.26,2376,0.0,0.0,0.0,95,7692,4,15,4,0,4,4,4,0,3,1.33,2,3,40920,511.5,1836,3558,877,905,1691,2189,10723,1263,1796,930,80,200,661,0.0449,0.087,0.0214,0,6109,14,0,635,219,415,5,1147,0.3401,0.0009,0.0009,0.4372,0.0,0.003,0.0023,0,0,0,0.0,0.0,0.0909,0.0152,0.0324,1.0
