family,stage_hint,behavior_stage,actual_offset_s,target_offset_s,rep,run,snap_name,snap_dir,pslist_count,pslist_unique_names,pslist_avg_threads,pslist_avg_handles,pslist_wow64_count,pslist_exited_count,pslist_ransom_procs,pslist_avg_runtimes,pslist_max_runtimes,pslist_avg_children,pslist_max_children,pslist_parent_missing_count,psscan_count,hidden_process_count,cmdline_count,cmdline_with_args,cmdline_suspicious_count,cmdline_avg_length,cmdline_max_length,cmdline_sus_args_count,cmdline_script_exec_count,cmdline_unusual_dir_count,cmdline_script_tool_count,cmdline_encoded_count,cmdline_ransom_indicators,dlllist_total,dlllist_unique_dlls,dlllist_avg_per_process,dlllist_non_system,dlllist_avg_load_total_per_process,dlllist_max_load_total_per_process,dlllist_avg_max_loadcount_per_process,dlllist_unusual_path_pid_count,dlllist_unusual_path_hit_count,dlllist_crypto_pid_count,dlllist_crypto_hit_count,dlllist_crypto_dlls,ldrmodules_total,ldrmodules_not_in_load,ldrmodules_not_in_init,ldrmodules_not_in_mem,ldrmodules_hidden_count,ldrmodules_avg_per_process,ldrmodules_max_per_process,ldrmodules_suspicious_path_pid_count,ldrmodules_suspicious_path_hit_count,vad_total,vad_exec_count,vad_private_exec,vad_pid_count,vad_avg_regions_per_process,vad_max_regions_per_process,vad_avg_total_mem_per_process,vad_max_total_mem_per_process,vad_avg_max_region_size_per_process,vad_private_pid_count,vad_private_region_count,vad_rwx_pid_count,vad_rwx_region_count,malfind_count,malfind_mz_regions,malfind_rwx_region_count,malfind_private,malfind_private_exec,malfind_shellcode_regions,malfind_pid_count,malfind_avg_regions_per_process,malfind_max_regions_per_process,malfind_rwx_pid_count,handle_total,handle_avg_per_process,handle_file_count,handle_registry_count,handle_mutex_count,handle_process_count,handle_thread_count,handle_port_count,handle_event_count,handle_section_count,handle_semaphore_count,handle_timer_count,handle_desktop_count,handle_directory_count,handle_token_count,handle_file_ratio,handle_registry_ratio,handle_mutex_ratio,handle_encrypted_files,filescan_total,filescan_encrypted,filescan_ransom_notes,svcscan_total,svcscan_running,svcscan_stopped,svcscan_security_stopped,priv_total_enabled,vad_exec_ratio,vad_priv_exec_ratio,vad_rwx_ratio,vad_private_ratio,ldrmodules_hidden_ratio,ldrmodules_suspicious_path_ratio,filescan_encrypted_ratio,netstat_established_ratio,netstat_outbound_ratio,netstat_suspicious_port_ratio,cmdline_encoded_ratio,cmdline_script_exec_ratio,cmdline_unusual_dir_ratio,dlllist_unusual_path_ratio,dlllist_crypto_ratio,malfind_rwx_ratio
Cerber,1,2,15,15,2,6,Cerber_T015_rep02,D:/Patrick/VMSnapshots/Datasets/Cerber_20260330_020139\T015_rep02,93,53,11.94,0,6,4,0,0,0,4.18,35,5,103,10,93,93,2,78.17,1037,0,0,4,2,0,0,4575,856,57.91,5069,317.0,1640.0,5.62,7,56,67,146,7,352,36,55,36,0,11.73,55,1,1,16426,5461,15,89,184.56,2322,0.0,0.0,0.0,88,7295,4,15,4,0,4,4,4,0,3,1.33,2,3,37866,485.46,1816,3275,789,854,1486,1968,9468,1187,1697,914,76,198,650,0.048,0.0865,0.0208,0,5870,15,0,635,214,420,5,1085,0.3325,0.0009,0.0009,0.4441,0.0,0.0028,0.0026,0,0,0,0.0,0.0,0.043,0.0122,0.0319,1.0
Cerber,1,2,15,15,3,11,Cerber_T015_rep03,D:/Patrick/VMSnapshots/Datasets/Cerber_20260330_020139\T015_rep03,93,52,12.12,0,4,4,0,0,0,4.18,35,5,103,10,93,93,2,118.31,1123,0,0,9,1,0,0,4636,859,55.19,5128,302.05,1640.0,5.5,7,57,67,147,7,389,35,60,35,0,10.81,72,1,1,16496,5491,15,89,185.35,2301,0.0,0.0,0.0,88,7300,4,15,4,0,4,4,4,0,3,1.33,2,3,38372,491.95,1815,3309,825,857,1511,1998,9701,1218,1718,916,78,194,648,0.0473,0.0862,0.0215,0,5892,15,0,635,214,420,5,1020,0.3329,0.0009,0.0009,0.4425,0.0,0.0026,0.0025,0,0,0,0.0,0.0,0.0968,0.0123,0.0317,1.0
Cerber,1,2,15,15,4,16,Cerber_T015_rep04,D:/Patrick/VMSnapshots/Datasets/Cerber_20260330_020139\T015_rep04,89,48,12.29,0,2,3,0,0,0,4.4,35,5,103,14,89,89,0,76.02,1037,0,0,4,0,0,0,4468,850,62.06,4955,347.54,1640.0,5.83,7,57,64,143,7,248,26,39,26,0,11.81,63,1,1,16184,5372,20,86,188.19,2322,0.0,0.0,0.0,85,7226,5,20,9,3,9,9,9,0,4,2.25,5,4,37330,497.73,1783,3212,769,834,1483,1952,9389,1166,1676,905,74,186,643,0.0478,0.086,0.0206,0,5836,16,0,635,214,420,5,970,0.3319,0.0012,0.0012,0.4465,0.0,0.004,0.0027,0,0,0,0.0,0.0,0.0449,0.0128,0.032,1.0
Cerber,1,2,15,15,5,21,Cerber_T015_rep05,D:/Patrick/VMSnapshots/Datasets/Cerber_20260330_020139\T015_rep05,89,48,12.21,0,2,3,0,0,0,4.4,35,5,103,14,89,89,0,76.02,1037,0,0,4,0,0,0,4464,849,62.0,4955,347.54,1640.0,5.83,7,57,64,142,7,245,25,38,25,0,11.67,63,1,1,16192,5372,20,86,188.28,2333,0.0,0.0,0.0,85,7228,5,20,9,3,9,9,9,0,4,2.25,5,4,37318,497.57,1786,3210,801,834,1485,1952,9383,1168,1676,897,74,186,617,0.0479,0.086,0.0215,0,5810,15,0,635,214,420,5,970,0.3318,0.0012,0.0012,0.4464,0.0,0.0041,0.0026,0,0,0,0.0,0.0,0.0449,0.0128,0.0318,1.0
Cerber,2,2,30,30,1,2,Cerber_T030_rep01,D:/Patrick/VMSnapshots/Datasets/Cerber_20260330_020139\T030_rep01,91,51,12.26,0,3,3,0,0,0,4.29,35,6,102,11,91,91,2,120.0,1123,0,0,9,1,0,0,4620,859,55.66,5117,304.52,1640.0,5.49,7,56,67,146,7,338,29,52,29,0,10.9,84,1,1,16567,5479,15,88,188.26,2408,0.0,0.0,0.0,87,7398,4,15,4,0,4,4,4,0,3,1.33,2,3,38329,497.78,1813,3308,855,851,1520,1996,9685,1217,1717,913,77,192,621,0.0473,0.0863,0.0223,0,5880,14,0,635,214,420,5,991,0.3307,0.0009,0.0009,0.4466,0.0,0.003,0.0024,0,0,0,0.0,0.0,0.0989,0.0121,0.0316,1.0
Cerber,2,2,30,30,2,7,Cerber_T030_rep02,D:/Patrick/VMSnapshots/Datasets/Cerber_20260330_020139\T030_rep02,91,51,12.28,0,3,3,0,0,0,4.29,35,6,101,10,91,91,2,120.0,1123,0,0,9,1,0,0,4624,860,55.71,5117,304.52,1640.0,5.49,7,56,67,147,7,340,30,53,30,0,10.97,84,1,1,16510,5479,15,88,187.61,2349,0.0,0.0,0.0,87,7342,4,15,4,0,4,4,4,0,3,1.33,2,3,38322,497.69,1812,3296,855,851,1518,1996,9681,1216,1716,913,77,192,647,0.0473,0.086,0.0223,0,5883,14,0,635,214,420,5,991,0.3319,0.0009,0.0009,0.4447,0.0,0.0029,0.0024,0,0,0,0.0,0.0,0.0989,0.0121,0.0318,1.0
Cerber,2,2,30,30,3,12,Cerber_T030_rep03,D:/Patrick/VMSnapshots/Datasets/Cerber_20260330_020139\T030_rep03,91,51,12.31,0,3,3,0,0,0,4.29,35,6,102,11,91,91,2,120.03,1123,0,0,9,1,0,0,4625,860,55.72,5117,304.52,1640.0,5.49,7,57,67,147,7,342,30,53,30,0,11.4,84,1,1,16515,5479,15,88,187.67,2349,0.0,0.0,0.0,87,7343,4,15,4,0,4,4,4,0,3,1.33,2,3,38376,498.39,1813,3294,871,851,1530,2000,9695,1216,1718,913,77,192,646,0.0472,0.0858,0.0227,0,5887,14,0,635,214,420,5,991,0.3318,0.0009,0.0009,0.4446,0.0,0.0029,0.0024,0,0,0,0.0,0.0,0.0989,0.0123,0.0318,1.0
Cerber,2,2,30,30,4,17,Cerber_T030_rep04,D:/Patrick/VMSnapshots/Datasets/Cerber_20260330_020139\T030_rep04,91,51,12.28,0,3,3,0,0,0,4.29,35,6,102,11,91,91,2,119.98,1123,0,0,9,1,0,0,4625,860,55.72,5117,304.52,1640.0,5.49,7,57,67,147,7,344,31,55,31,0,10.75,84,1,1,16456,5479,15,88,187.0,2297,0.0,0.0,0.0,87,7290,4,15,4,0,4,4,4,0,3,1.33,2,3,38331,497.81,1811,3295,839,851,1522,2000,9689,1216,1718,913,77,192,646,0.0472,0.086,0.0219,0,5883,14,0,635,214,420,5,991,0.3329,0.0009,0.0009,0.443,0.0,0.0029,0.0024,0,0,0,0.0,0.0,0.0989,0.0123,0.0318,1.0
Cerber,2,2,30,30,5,22,Cerber_T030_rep05,D:/Patrick/VMSnapshots/Datasets/Cerber_20260330_020139\T030_rep05,91,51,12.26,0,3,3,0,0,0,4.29,35,6,102,11,91,91,2,120.03,1123,0,0,9,1,0,0,4620,859,55.66,5117,304.52,1640.0,5.49,7,56,67,146,7,339,29,52,29,0,11.3,84,1,1,16511,5479,15,88,187.62,2353,0.0,0.0,0.0,87,7344,4,15,4,0,4,4,4,0,3,1.33,2,3,38320,497.66,1810,3308,839,851,1521,2000,9691,1215,1718,913,77,192,619,0.0472,0.0863,0.0219,0,5877,14,0,635,214,420,5,991,0.3318,0.0009,0.0009,0.4448,0.0,0.0029,0.0024,0,0,0,0.0,0.0,0.0989,0.0121,0.0316,1.0
Cerber,3,2,60,60,1,3,Cerber_T060_rep01,D:/Patrick/VMSnapshots/Datasets/Cerber_20260330_020139\T060_rep01,91,51,12.08,0,3,3,0,0,0,4.29,35,6,102,11,91,91,2,120.0,1123,0,0,9,1,0,0,4631,861,55.8,5117,304.52,1640.0,5.49,7,55,67,148,7,254,21,43,21,0,8.47,84,0,0,16623,5479,15,88,188.9,2476,0.0,0.0,0.0,87,7451,4,15,4,0,4,4,4,0,3,1.33,2,3,38289,497.26,1815,3338,871,851,1498,1959,9664,1220,1718,914,77,192,621,0.0474,0.0872,0.0227,0,5882,14,0,635,214,420,5,991,0.3296,0.0009,0.0009,0.4482,0.0,0.0,0.0024,0,0,0,0.0,0.0,0.0989,0.0119,0.032,1.0
