family,stage_hint,behavior_stage,actual_offset_s,target_offset_s,rep,run,snap_name,snap_dir,pslist_count,pslist_unique_names,pslist_avg_threads,pslist_avg_handles,pslist_wow64_count,pslist_exited_count,pslist_ransom_procs,pslist_avg_runtimes,pslist_max_runtimes,pslist_avg_children,pslist_max_children,pslist_parent_missing_count,psscan_count,hidden_process_count,cmdline_count,cmdline_with_args,cmdline_suspicious_count,cmdline_avg_length,cmdline_max_length,cmdline_sus_args_count,cmdline_script_exec_count,cmdline_unusual_dir_count,cmdline_script_tool_count,cmdline_encoded_count,cmdline_ransom_indicators,dlllist_total,dlllist_unique_dlls,dlllist_avg_per_process,dlllist_non_system,dlllist_avg_load_total_per_process,dlllist_max_load_total_per_process,dlllist_avg_max_loadcount_per_process,dlllist_unusual_path_pid_count,dlllist_unusual_path_hit_count,dlllist_crypto_pid_count,dlllist_crypto_hit_count,dlllist_crypto_dlls,ldrmodules_total,ldrmodules_not_in_load,ldrmodules_not_in_init,ldrmodules_not_in_mem,ldrmodules_hidden_count,ldrmodules_avg_per_process,ldrmodules_max_per_process,ldrmodules_suspicious_path_pid_count,ldrmodules_suspicious_path_hit_count,vad_total,vad_exec_count,vad_private_exec,vad_pid_count,vad_avg_regions_per_process,vad_max_regions_per_process,vad_avg_total_mem_per_process,vad_max_total_mem_per_process,vad_avg_max_region_size_per_process,vad_private_pid_count,vad_private_region_count,vad_rwx_pid_count,vad_rwx_region_count,malfind_count,malfind_mz_regions,malfind_rwx_region_count,malfind_private,malfind_private_exec,malfind_shellcode_regions,malfind_pid_count,malfind_avg_regions_per_process,malfind_max_regions_per_process,malfind_rwx_pid_count,handle_total,handle_avg_per_process,handle_file_count,handle_registry_count,handle_mutex_count,handle_process_count,handle_thread_count,handle_port_count,handle_event_count,handle_section_count,handle_semaphore_count,handle_timer_count,handle_desktop_count,handle_directory_count,handle_token_count,handle_file_ratio,handle_registry_ratio,handle_mutex_ratio,handle_encrypted_files,filescan_total,filescan_encrypted,filescan_ransom_notes,svcscan_total,svcscan_running,svcscan_stopped,svcscan_security_stopped,priv_total_enabled,vad_exec_ratio,vad_priv_exec_ratio,vad_rwx_ratio,vad_private_ratio,ldrmodules_hidden_ratio,ldrmodules_suspicious_path_ratio,filescan_encrypted_ratio,netstat_established_ratio,netstat_outbound_ratio,netstat_suspicious_port_ratio,cmdline_encoded_ratio,cmdline_script_exec_ratio,cmdline_unusual_dir_ratio,dlllist_unusual_path_ratio,dlllist_crypto_ratio,malfind_rwx_ratio
Dharma,1,2,5,5,1,1,Dharma_T005_rep01_142150,D:/Patrick/VMSnapshots/Datasets/Dharma_20260413_142116\T005_rep01,106,59,13.11,0,3,7,1,0,0,4.77,41,5,114,8,106,106,1,69.04,1037,0,0,5,0,0,0,4925,913,62.34,5350,342.08,1634.0,5.85,7,73,70,159,7,1051,56,91,56,0,26.27,107,2,3,17536,6025,20,99,177.13,2205,0.0,0.0,0.0,98,7581,4,15,9,0,4,9,9,0,5,1.8,4,3,41063,494.73,1853,3508,853,923,1736,2226,10665,1228,1819,941,82,210,780,0.0451,0.0854,0.0208,0,6361,58,0,635,222,412,3,1273,0.3436,0.0011,0.0009,0.4323,0.0,0.0029,0.0091,0,0,0,0.0,0.0,0.0472,0.0148,0.0323,0.4444
Dharma,1,2,5,5,2,6,Dharma_T005_rep02_143606,D:/Patrick/VMSnapshots/Datasets/Dharma_20260413_142116\T005_rep02,106,59,13.08,0,3,7,1,0,0,4.77,41,5,113,7,106,106,1,69.04,1037,0,0,5,0,0,0,4905,911,62.09,5339,341.24,1634.0,5.85,7,73,70,159,7,1051,55,90,55,0,26.27,108,2,3,17557,6024,19,99,177.34,2232,0.0,0.0,0.0,98,7604,4,15,7,0,4,7,7,0,5,1.4,2,3,40984,493.78,1851,3513,836,923,1724,2225,10660,1225,1819,941,82,210,772,0.0452,0.0857,0.0204,0,6343,59,0,635,222,412,3,1273,0.3431,0.0011,0.0009,0.4331,0.0,0.0029,0.0093,0,0,0,0.0,0.0,0.0472,0.0149,0.0324,0.5714
Dharma,1,2,5,5,3,11,Dharma_T005_rep03_145048,D:/Patrick/VMSnapshots/Datasets/Dharma_20260413_142116\T005_rep03,107,59,13.11,0,4,7,1,0,0,4.61,42,5,112,5,107,107,2,91.85,2676,0,0,5,0,0,0,4785,893,60.57,5223,328.28,1634.0,5.85,7,73,70,157,7,1145,68,104,68,0,27.26,108,2,3,17725,6099,19,100,177.25,2230,0.0,0.0,0.0,99,7657,4,15,7,0,4,7,7,0,5,1.4,2,3,41518,494.26,1868,3548,858,932,1749,2262,10795,1239,1831,950,83,214,782,0.045,0.0855,0.0207,0,6338,59,0,635,223,411,3,1301,0.3441,0.0011,0.0008,0.432,0.0,0.0026,0.0093,0,0,0,0.0,0.0,0.0467,0.0153,0.0328,0.5714
Dharma,1,2,5,5,4,16,Dharma_T005_rep04_150542,D:/Patrick/VMSnapshots/Datasets/Dharma_20260413_142116\T005_rep04,108,59,13.16,0,5,7,1,0,0,4.65,42,5,111,3,108,108,2,93.26,2676,0,0,5,0,0,0,5024,913,62.02,5462,333.04,1634.0,5.85,7,73,72,163,7,1189,69,106,69,0,27.65,108,2,3,17756,6145,19,101,175.8,2144,0.0,0.0,0.0,100,7614,4,15,7,0,4,7,7,0,5,1.4,2,3,41846,492.31,1877,3590,862,941,1770,2278,10870,1242,1841,959,84,218,788,0.0449,0.0858,0.0206,0,6782,59,0,635,223,411,3,1329,0.3461,0.0011,0.0008,0.4288,0.0,0.0025,0.0087,0,0,0,0.0,0.0,0.0463,0.0145,0.0324,0.5714
Dharma,1,2,5,5,5,21,Dharma_T005_rep05_152027,D:/Patrick/VMSnapshots/Datasets/Dharma_20260413_142116\T005_rep05,106,59,13.02,0,3,7,1,0,0,4.77,41,5,111,5,106,106,1,69.04,1037,0,0,5,0,0,0,4906,911,62.1,5339,341.24,1634.0,5.85,7,73,70,159,7,1050,55,90,55,0,26.25,108,2,3,17553,6024,19,99,177.3,2236,0.0,0.0,0.0,98,7602,4,15,7,0,4,7,7,0,5,1.4,2,3,40940,493.25,1847,3506,821,923,1711,2224,10643,1225,1818,940,82,210,770,0.0451,0.0856,0.0201,0,6731,58,0,635,222,412,3,1273,0.3432,0.0011,0.0009,0.4331,0.0,0.0029,0.0086,0,0,0,0.0,0.0,0.0472,0.0149,0.0324,0.5714
Dharma,1,2,10,10,1,2,Dharma_T010_rep01_142411,D:/Patrick/VMSnapshots/Datasets/Dharma_20260413_142116\T010_rep01,107,61,13.1,0,3,7,1,0,0,4.61,41,5,110,3,107,107,1,60.38,1037,0,0,5,0,0,0,4353,843,56.53,4885,319.82,1634.0,5.69,5,71,66,148,7,1095,62,98,62,0,24.89,106,2,3,17576,6068,19,100,175.76,2151,0.0,0.0,0.0,99,7549,4,15,6,0,2,6,6,0,4,1.5,3,2,39175,483.64,1721,3323,816,906,1605,2157,10248,1082,1775,911,82,205,829,0.0439,0.0848,0.0208,5,6801,106,0,635,222,412,3,1270,0.3452,0.0011,0.0009,0.4295,0.0,0.0027,0.0156,0,0,0,0.0,0.0,0.0467,0.0163,0.034,0.3333
Dharma,1,2,10,10,2,7,Dharma_T010_rep02_143827,D:/Patrick/VMSnapshots/Datasets/Dharma_20260413_142116\T010_rep02,108,60,13.05,0,4,7,1,0,0,4.46,42,4,109,1,108,108,2,68.72,2676,0,0,4,0,0,0,3601,775,62.09,4126,355.03,1634.0,5.9,4,67,54,119,7,1125,67,103,67,0,26.16,104,2,3,17717,6104,19,101,175.42,2196,0.0,0.0,0.0,100,7634,4,15,6,0,2,6,6,0,4,1.5,3,2,38046,494.1,1684,3204,806,906,1575,2116,9960,1029,1717,895,75,201,821,0.0443,0.0842,0.0212,5,6151,233,0,635,223,411,3,1302,0.3445,0.0011,0.0008,0.4309,0.0,0.0027,0.0379,0,0,0,0.0,0.0,0.037,0.0186,0.033,0.3333
Dharma,1,2,10,10,3,12,Dharma_T010_rep03_145309,D:/Patrick/VMSnapshots/Datasets/Dharma_20260413_142116\T010_rep03,107,60,12.96,0,3,7,1,0,0,4.61,41,5,109,2,107,107,1,44.58,568,0,0,4,0,0,0,3538,772,61.0,4065,355.83,1634.0,5.79,4,67,53,117,7,1038,53,87,53,0,25.95,108,1,2,17579,6030,20,100,175.79,2232,0.0,0.0,0.0,99,7610,4,15,6,0,1,6,6,0,3,2.0,4,1,37609,494.86,1693,3171,817,897,1543,2079,9865,1017,1704,884,74,196,813,0.045,0.0843,0.0217,3,6043,216,0,635,222,412,3,1274,0.343,0.0011,0.0009,0.4329,0.0,0.0019,0.0357,0,0,0,0.0,0.0,0.0374,0.0189,0.0331,0.1667
Dharma,1,2,10,10,4,17,Dharma_T010_rep04_150813,D:/Patrick/VMSnapshots/Datasets/Dharma_20260413_142116\T010_rep04,107,60,13.19,0,3,7,1,0,0,4.61,41,5,109,2,107,107,1,45.22,568,0,0,4,0,0,0,3601,774,59.03,4134,343.51,1634.0,5.8,4,68,54,118,7,1076,56,92,56,0,25.62,108,2,3,17654,6049,19,100,176.54,2232,0.0,0.0,0.0,99,7646,4,15,7,0,3,7,7,0,5,1.4,3,3,37882,491.97,1671,3171,825,900,1575,2100,9957,1024,1707,893,75,197,813,0.0441,0.0837,0.0218,4,6299,231,0,635,222,412,3,1274,0.3426,0.0011,0.0008,0.4331,0.0,0.0028,0.0367,0,0,0,0.0,0.0,0.0374,0.0189,0.0328,0.4286
Dharma,1,2,10,10,5,22,Dharma_T010_rep05_152257,D:/Patrick/VMSnapshots/Datasets/Dharma_20260413_142116\T010_rep05,108,61,12.94,0,3,7,1,0,0,4.65,41,5,110,2,108,108,1,45.47,568,0,0,4,0,0,0,3603,776,60.05,4131,349.4,1634.0,5.8,4,68,55,119,7,1067,58,94,58,0,25.4,105,2,3,17579,6055,19,101,174.05,2157,0.0,0.0,0.0,100,7559,4,15,5,0,1,5,5,0,3,1.67,3,1,37767,490.48,1697,3185,809,904,1558,2089,9875,1029,1708,891,76,197,816,0.0449,0.0843,0.0214,4,6278,234,0,635,222,412,3,1275,0.3444,0.0011,0.0009,0.43,0.0,0.0028,0.0373,0,0,0,0.0,0.0,0.037,0.0189,0.033,0.2
