family,stage_hint,behavior_stage,actual_offset_s,target_offset_s,rep,run,snap_name,snap_dir,pslist_count,pslist_unique_names,pslist_avg_threads,pslist_avg_handles,pslist_wow64_count,pslist_exited_count,pslist_ransom_procs,pslist_avg_runtimes,pslist_max_runtimes,pslist_avg_children,pslist_max_children,pslist_parent_missing_count,psscan_count,hidden_process_count,cmdline_count,cmdline_with_args,cmdline_suspicious_count,cmdline_avg_length,cmdline_max_length,cmdline_sus_args_count,cmdline_script_exec_count,cmdline_unusual_dir_count,cmdline_script_tool_count,cmdline_encoded_count,cmdline_ransom_indicators,dlllist_total,dlllist_unique_dlls,dlllist_avg_per_process,dlllist_non_system,dlllist_avg_load_total_per_process,dlllist_max_load_total_per_process,dlllist_avg_max_loadcount_per_process,dlllist_unusual_path_pid_count,dlllist_unusual_path_hit_count,dlllist_crypto_pid_count,dlllist_crypto_hit_count,dlllist_crypto_dlls,ldrmodules_total,ldrmodules_not_in_load,ldrmodules_not_in_init,ldrmodules_not_in_mem,ldrmodules_hidden_count,ldrmodules_avg_per_process,ldrmodules_max_per_process,ldrmodules_suspicious_path_pid_count,ldrmodules_suspicious_path_hit_count,vad_total,vad_exec_count,vad_private_exec,vad_pid_count,vad_avg_regions_per_process,vad_max_regions_per_process,vad_avg_total_mem_per_process,vad_max_total_mem_per_process,vad_avg_max_region_size_per_process,vad_private_pid_count,vad_private_region_count,vad_rwx_pid_count,vad_rwx_region_count,malfind_count,malfind_mz_regions,malfind_rwx_region_count,malfind_private,malfind_private_exec,malfind_shellcode_regions,malfind_pid_count,malfind_avg_regions_per_process,malfind_max_regions_per_process,malfind_rwx_pid_count,handle_total,handle_avg_per_process,handle_file_count,handle_registry_count,handle_mutex_count,handle_process_count,handle_thread_count,handle_port_count,handle_event_count,handle_section_count,handle_semaphore_count,handle_timer_count,handle_desktop_count,handle_directory_count,handle_token_count,handle_file_ratio,handle_registry_ratio,handle_mutex_ratio,handle_encrypted_files,filescan_total,filescan_encrypted,filescan_ransom_notes,svcscan_total,svcscan_running,svcscan_stopped,svcscan_security_stopped,priv_total_enabled,vad_exec_ratio,vad_priv_exec_ratio,vad_rwx_ratio,vad_private_ratio,ldrmodules_hidden_ratio,ldrmodules_suspicious_path_ratio,filescan_encrypted_ratio,netstat_established_ratio,netstat_outbound_ratio,netstat_suspicious_port_ratio,cmdline_encoded_ratio,cmdline_script_exec_ratio,cmdline_unusual_dir_ratio,dlllist_unusual_path_ratio,dlllist_crypto_ratio,malfind_rwx_ratio
Dharma,1,3,15,15,1,1,Dharma_T015_rep01,D:/Patrick/VMSnapshots/Datasets/Dharma_20260329_230514\T015_rep01,96,52,12.09,0,2,6,1,0,0,4.32,37,5,101,5,96,96,0,62.92,1037,0,0,5,0,0,0,2805,677,52.92,3649,345.62,1622.0,5.66,3,32,45,87,7,268,18,37,18,0,10.72,38,1,1,16583,5444,14,90,184.26,2437,0.0,0.0,0.0,89,7421,3,14,1,0,1,1,1,0,1,1.0,1,1,33907,506.07,1565,2677,683,846,1328,1801,8515,1002,1505,800,68,180,762,0.0462,0.079,0.0201,4,5946,530,0,635,214,419,3,1103,0.3283,0.0008,0.0008,0.4475,0.0,0.0037,0.0891,0,0,0,0.0,0.0,0.0521,0.0114,0.031,1.0
Dharma,1,2,15,15,2,7,Dharma_T015_rep02,D:/Patrick/VMSnapshots/Datasets/Dharma_20260329_230514\T015_rep02,96,53,12.21,0,2,6,1,0,0,4.32,36,5,102,6,96,96,0,63.08,1037,0,0,5,0,0,0,2707,646,49.22,3640,331.05,1616.0,5.89,4,44,46,85,7,303,18,37,18,0,12.12,43,1,1,16468,5482,14,90,182.98,2257,0.0,0.0,0.0,89,7255,3,14,1,0,1,1,1,0,1,1.0,1,1,34155,502.28,1570,2675,674,851,1334,1813,8562,1024,1562,809,70,182,758,0.046,0.0783,0.0197,5,6032,366,0,635,214,420,3,1090,0.3329,0.0009,0.0009,0.4406,0.0,0.0033,0.0607,0,0,0,0.0,0.0,0.0521,0.0163,0.0314,1.0
Dharma,1,2,15,15,3,13,Dharma_T015_rep03,D:/Patrick/VMSnapshots/Datasets/Dharma_20260329_230514\T015_rep03,98,54,12.49,0,2,6,1,0,0,4.22,37,5,106,8,98,98,0,45.53,985,0,0,3,0,0,0,2674,656,54.57,3323,345.22,1622.0,5.63,4,30,40,82,7,457,94,117,94,0,13.44,59,1,1,16642,5513,14,92,180.89,2286,0.0,0.0,0.0,91,7344,3,14,,,,,,,,,,,31622,494.09,1512,2554,872,853,1307,1696,7979,984,1424,718,60,166,746,0.0478,0.0808,0.0276,4,6356,533,0,635,215,419,3,1155,0.3313,0.0008,0.0008,0.4413,0.0,0.0022,0.0839,0,0,0,0.0,0.0,0.0306,0.0112,0.0307,0
Dharma,1,2,15,15,4,19,Dharma_T015_rep04,D:/Patrick/VMSnapshots/Datasets/Dharma_20260329_230514\T015_rep04,101,57,13.57,0,2,6,1,0,0,4.0,38,5,107,6,101,101,1,38.18,568,0,0,2,0,0,0,2610,648,50.19,3117,306.25,1622.0,5.19,4,6,39,79,7,431,90,114,90,0,13.06,59,0,0,18859,5696,34,95,198.52,3239,0.0,0.0,0.0,94,9278,3,34,25,0,25,25,25,0,2,12.5,24,2,35247,526.07,1567,2628,959,864,1525,1812,8650,1052,1574,779,65,179,780,0.0445,0.0746,0.0272,2,4717,79,0,635,217,417,3,1220,0.302,0.0018,0.0018,0.492,0.0,0.0,0.0167,0,0,0,0.0,0.0,0.0198,0.0023,0.0303,1.0
Dharma,1,2,15,15,5,25,Dharma_T015_rep05,D:/Patrick/VMSnapshots/Datasets/Dharma_20260329_230514\T015_rep05,105,61,13.38,0,3,6,1,0,0,3.47,37,6,108,3,105,105,0,41.05,568,0,0,2,0,0,0,2488,620,46.94,2869,273.45,1622.0,4.87,3,5,36,79,7,372,30,55,30,0,11.27,38,0,0,19131,5843,25,99,193.24,3200,0.0,0.0,0.0,98,9355,3,25,12,0,12,12,12,0,1,12.0,12,1,37675,546.01,1632,2914,724,879,1639,2033,9405,1142,1642,827,70,184,778,0.0433,0.0773,0.0192,7,4839,415,0,635,215,419,3,1211,0.3054,0.0013,0.0013,0.489,0.0,0.0,0.0858,0,0,0,0.0,0.0,0.019,0.002,0.0318,1.0
Dharma,2,2,30,30,1,2,Dharma_T030_rep01,D:/Patrick/VMSnapshots/Datasets/Dharma_20260329_230514\T030_rep01,98,54,12.08,0,2,6,1,0,0,4.41,38,5,98,0,98,98,0,25.1,320,0,0,2,0,0,0,2475,628,60.37,3051,382.51,1622.0,5.41,5,32,35,69,7,391,35,58,35,0,13.96,38,1,1,16523,5535,14,92,179.6,2186,0.0,0.0,0.0,91,7218,3,14,2,0,2,2,2,0,2,1.0,1,2,31906,523.05,1490,2573,673,846,1324,1691,8092,972,1474,752,62,168,756,0.0467,0.0806,0.0211,2,7611,1708,0,635,215,418,3,1110,0.335,0.0008,0.0008,0.4368,0.0,0.0026,0.2244,0,0,0,0.0,0.0,0.0204,0.0129,0.0279,1.0
Dharma,2,2,30,30,2,8,Dharma_T030_rep02,D:/Patrick/VMSnapshots/Datasets/Dharma_20260329_230514\T030_rep02,105,55,12.55,0,2,11,1,0,0,4.52,38,5,106,1,105,105,2,35.78,568,0,0,4,2,0,0,3128,700,55.86,3773,333.52,1622.0,5.25,5,49,43,93,7,596,36,65,36,0,18.06,69,1,1,16855,5702,14,94,179.31,2116,0.0,0.0,0.0,93,7283,3,14,,,,,,,,,,,36384,527.3,1621,3017,723,893,1499,1900,9048,1122,1608,840,67,185,775,0.0446,0.0829,0.0199,0,6868,1659,0,635,215,418,3,1263,0.3383,0.0008,0.0008,0.4321,0.0,0.0017,0.2416,0,0,0,0.0,0.0,0.0381,0.0157,0.0297,0
Dharma,2,2,30,30,3,14,Dharma_T030_rep03,D:/Patrick/VMSnapshots/Datasets/Dharma_20260329_230514\T030_rep03,102,53,12.78,0,2,9,1,0,0,4.39,38,5,102,0,102,102,2,32.32,568,0,0,3,2,0,0,2174,557,51.76,2529,300.17,1622.0,4.86,4,16,28,55,7,672,63,92,63,0,18.67,69,1,1,16798,5675,14,93,180.62,2171,0.0,0.0,0.0,92,7316,3,14,1,0,1,1,1,0,1,1.0,1,1,33247,545.03,1555,2868,791,872,1405,1822,8189,1066,1527,768,60,168,760,0.0468,0.0863,0.0238,0,6849,1661,0,635,215,418,3,1278,0.3378,0.0008,0.0008,0.4355,0.0,0.0015,0.2425,0,0,0,0.0,0.0,0.0294,0.0074,0.0253,1.0
Dharma,2,2,30,30,4,20,Dharma_T030_rep04,D:/Patrick/VMSnapshots/Datasets/Dharma_20260329_230514\T030_rep04,102,57,13.44,0,2,6,1,0,0,4.04,38,4,107,5,102,102,1,30.95,320,0,0,1,0,0,0,2501,588,47.19,3090,295.57,1628.0,4.98,5,13,38,77,7,458,43,79,43,0,13.47,46,0,0,18804,5729,33,96,195.88,3250,0.0,0.0,0.0,95,9190,3,33,20,0,20,20,20,0,1,20.0,20,1,35590,515.8,1595,2834,965,892,1526,1795,8698,1028,1589,796,69,185,761,0.0448,0.0796,0.0271,0,5170,179,0,635,217,417,3,1225,0.3047,0.0018,0.0018,0.4887,0.0,0.0,0.0346,0,0,0,0.0,0.0,0.0098,0.0052,0.0308,1.0
Dharma,2,2,30,30,5,26,Dharma_T030_rep05,D:/Patrick/VMSnapshots/Datasets/Dharma_20260329_230514\T030_rep05,108,57,13.49,0,2,9,1,0,0,4.12,38,5,108,0,108,108,2,41.84,568,0,0,5,2,0,0,2761,619,53.1,3103,292.92,1622.0,5.19,3,10,40,80,7,796,126,157,126,0,20.95,69,0,0,19575,5923,25,99,197.73,3200,0.0,0.0,0.0,98,9656,3,25,12,0,12,12,12,0,1,12.0,12,1,37581,529.31,1659,3125,930,908,1607,1990,9360,1134,1705,823,71,189,702,0.0441,0.0832,0.0247,0,6851,1545,0,635,216,418,3,1316,0.3026,0.0013,0.0013,0.4933,0.0,0.0,0.2255,0,0,0,0.0,0.0,0.0463,0.0036,0.029,1.0
