family,stage_hint,behavior_stage,actual_offset_s,target_offset_s,rep,run,snap_name,snap_dir,pslist_count,pslist_unique_names,pslist_avg_threads,pslist_avg_handles,pslist_wow64_count,pslist_exited_count,pslist_ransom_procs,pslist_avg_runtimes,pslist_max_runtimes,pslist_avg_children,pslist_max_children,pslist_parent_missing_count,psscan_count,hidden_process_count,cmdline_count,cmdline_with_args,cmdline_suspicious_count,cmdline_avg_length,cmdline_max_length,cmdline_sus_args_count,cmdline_script_exec_count,cmdline_unusual_dir_count,cmdline_script_tool_count,cmdline_encoded_count,cmdline_ransom_indicators,dlllist_total,dlllist_unique_dlls,dlllist_avg_per_process,dlllist_non_system,dlllist_avg_load_total_per_process,dlllist_max_load_total_per_process,dlllist_avg_max_loadcount_per_process,dlllist_unusual_path_pid_count,dlllist_unusual_path_hit_count,dlllist_crypto_pid_count,dlllist_crypto_hit_count,dlllist_crypto_dlls,ldrmodules_total,ldrmodules_not_in_load,ldrmodules_not_in_init,ldrmodules_not_in_mem,ldrmodules_hidden_count,ldrmodules_avg_per_process,ldrmodules_max_per_process,ldrmodules_suspicious_path_pid_count,ldrmodules_suspicious_path_hit_count,vad_total,vad_exec_count,vad_private_exec,vad_pid_count,vad_avg_regions_per_process,vad_max_regions_per_process,vad_avg_total_mem_per_process,vad_max_total_mem_per_process,vad_avg_max_region_size_per_process,vad_private_pid_count,vad_private_region_count,vad_rwx_pid_count,vad_rwx_region_count,malfind_count,malfind_mz_regions,malfind_rwx_region_count,malfind_private,malfind_private_exec,malfind_shellcode_regions,malfind_pid_count,malfind_avg_regions_per_process,malfind_max_regions_per_process,malfind_rwx_pid_count,handle_total,handle_avg_per_process,handle_file_count,handle_registry_count,handle_mutex_count,handle_process_count,handle_thread_count,handle_port_count,handle_event_count,handle_section_count,handle_semaphore_count,handle_timer_count,handle_desktop_count,handle_directory_count,handle_token_count,handle_file_ratio,handle_registry_ratio,handle_mutex_ratio,handle_encrypted_files,filescan_total,filescan_encrypted,filescan_ransom_notes,svcscan_total,svcscan_running,svcscan_stopped,svcscan_security_stopped,priv_total_enabled,vad_exec_ratio,vad_priv_exec_ratio,vad_rwx_ratio,vad_private_ratio,ldrmodules_hidden_ratio,ldrmodules_suspicious_path_ratio,filescan_encrypted_ratio,netstat_established_ratio,netstat_outbound_ratio,netstat_suspicious_port_ratio,cmdline_encoded_ratio,cmdline_script_exec_ratio,cmdline_unusual_dir_ratio,dlllist_unusual_path_ratio,dlllist_crypto_ratio,malfind_rwx_ratio
Benign,0,1,79,15,1,1,Benign_T015_rep01_121606,/mnt/d/Patrick/VMSnapshots/Datasets/Benign_20260409_121408/T015_rep01,97,54,12.98,0,1,3,0,0,0,4.8,38,5,108,11,97,97,1,68.7,1037,0,0,5,0,0,0,4143,842,62.77,4694,362.02,1640.0,5.82,5,70,58,130,7,450,34,56,34,0,15.52,106,1,1,17511,5865,15,94,186.29,2329,0.0,0.0,0.0,93,7759,4,15,3,0,3,3,3,0,3,1.0,1,3,37232,503.14,1725,2913,666,889,1606,2007,9898,1084,1656,890,71,190,507,0.0463,0.0782,0.0179,0,5658,1,0,635,221,413,5,1158,0.3349,0.0009,0.0009,0.4431,0.0,0.0022,0.0002,0,0,0,0.0,0.0,0.0515,0.0169,0.0314,1.0
Benign,0,1,79,15,2,6,Benign_T015_rep02_123755,/mnt/d/Patrick/VMSnapshots/Datasets/Benign_20260409_121408/T015_rep02,111,57,13.81,0,2,3,0,0,0,4.78,37,7,113,2,111,111,1,72.52,985,0,0,6,0,0,0,2213,493,44.26,2518,241.74,1451.0,5.4,3,41,38,109,7,847,172,195,172,0,22.29,198,0,0,21053,6638,20,108,194.94,3520,0.0,0.0,0.0,107,9945,4,15,26,0,0,5,5,0,13,2.0,4,0,35326,497.55,1798,1739,656,959,1962,1880,9635,995,1816,768,63,169,432,0.0509,0.0492,0.0186,0,4248,0,0,,,,,1164,0.3153,0.0009,0.0007,0.4724,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0541,0.0185,0.0493,0.0
Benign,0,1,79,15,3,11,Benign_T015_rep03_125923,/mnt/d/Patrick/VMSnapshots/Datasets/Benign_20260409_121408/T015_rep03,110,56,13.22,0,1,3,0,0,0,4.54,37,5,113,3,110,110,3,76.68,985,0,0,6,1,0,0,2382,594,45.81,2847,270.08,1634.0,5.08,5,52,37,97,7,258,27,55,27,0,7.37,144,0,0,20524,6495,19,107,191.81,3265,0.0,0.0,0.0,106,9660,4,15,15,0,7,11,11,0,7,2.14,7,1,35547,480.36,1808,2338,677,927,1828,1833,9787,1000,1854,765,66,169,367,0.0509,0.0658,0.019,0,4816,1,0,635,218,416,5,1181,0.3165,0.0009,0.0007,0.4707,0.0,0.0,0.0002,0,0,0,0.0,0.0,0.0545,0.0218,0.0407,0.4667
Benign,0,1,79,15,4,16,Benign_T015_rep04_132042,/mnt/d/Patrick/VMSnapshots/Datasets/Benign_20260409_121408/T015_rep04,93,52,12.56,0,1,3,0,0,0,4.6,37,5,104,11,93,93,2,113.56,1123,0,0,8,0,0,0,4808,913,56.56,5204,310.76,1634.0,5.51,7,73,68,153,7,63,6,26,6,0,2.74,15,1,1,16724,5568,15,90,185.82,2427,0.0,0.0,0.0,89,7466,4,15,4,0,4,4,4,0,3,1.33,2,3,38962,493.19,1816,3256,694,862,1597,2021,10197,1200,1744,940,78,195,672,0.0466,0.0836,0.0178,0,5881,1,0,635,218,416,5,1124,0.3329,0.0009,0.0009,0.4464,0.0,0.0159,0.0002,0,0,0,0.0,0.0,0.086,0.0152,0.0318,1.0
Benign,0,1,79,15,5,21,Benign_T015_rep05_134156,/mnt/d/Patrick/VMSnapshots/Datasets/Benign_20260409_121408/T015_rep05,111,57,13.34,0,1,3,0,0,0,4.78,38,6,113,2,111,111,1,64.28,430,0,0,4,0,0,0,1707,407,39.7,1866,875.72,28524.0,667.95,3,34,29,88,7,907,65,88,65,0,26.68,183,0,0,20456,6526,20,108,189.41,3012,0.0,0.0,0.0,107,9528,4,15,37,0,9,13,13,0,15,2.47,7,2,28767,479.45,1591,1569,533,919,1606,1530,7904,774,1616,574,51,146,340,0.0553,0.0545,0.0185,0,4889,1,0,580,208,371,5,1184,0.319,0.001,0.0007,0.4658,0.0,0.0,0.0002,0,0,0,0.0,0.0,0.036,0.0199,0.0516,0.2432
Benign,0,1,79,15,6,26,Benign_T015_rep06_140327,/mnt/d/Patrick/VMSnapshots/Datasets/Benign_20260409_121408/T015_rep06,110,57,13.36,0,1,3,0,0,0,4.74,37,6,113,3,110,110,1,60.05,568,0,0,4,0,0,0,2431,565,52.85,2867,312.63,1634.0,5.61,5,42,40,110,7,693,105,129,105,0,19.8,198,0,0,20610,6461,20,107,192.62,3437,0.0,0.0,0.0,106,9768,4,15,25,0,1,6,6,0,14,1.79,5,1,32691,454.04,1723,1800,670,905,1746,1705,8929,834,1778,661,62,171,348,0.0527,0.0551,0.0205,0,4556,0,0,,,,,1186,0.3135,0.001,0.0007,0.4739,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0364,0.0173,0.0452,0.04
Benign,0,1,79,15,7,31,Benign_T015_rep07_142432,/mnt/d/Patrick/VMSnapshots/Datasets/Benign_20260409_121408/T015_rep07,94,51,12.66,0,1,3,0,0,0,4.65,39,5,109,15,94,94,2,86.91,1037,0,0,6,0,0,0,4660,894,62.13,5039,341.32,1634.0,5.76,7,73,65,152,7,201,15,33,15,0,8.04,59,1,1,16980,5635,15,91,186.59,2361,0.0,0.0,0.0,90,7636,4,15,4,0,4,4,4,0,3,1.33,2,3,38423,492.6,1785,3192,672,872,1611,2035,10078,1185,1723,909,75,198,678,0.0465,0.0831,0.0175,0,6006,1,0,635,222,412,5,1108,0.3319,0.0009,0.0009,0.4497,0.0,0.005,0.0002,0,0,0,0.0,0.0,0.0638,0.0157,0.0326,1.0
Benign,0,1,79,15,8,36,Benign_T015_rep08_144601,/mnt/d/Patrick/VMSnapshots/Datasets/Benign_20260409_121408/T015_rep08,97,55,12.5,0,1,3,0,0,0,4.57,38,5,107,10,97,97,2,70.42,1037,0,0,5,1,0,0,4390,860,57.76,4918,326.91,1634.0,5.68,5,71,63,144,7,245,28,46,28,0,8.75,59,1,1,17773,5760,15,94,189.07,2499,0.0,0.0,0.0,93,8164,4,15,3,0,3,3,3,0,3,1.0,1,3,37751,477.86,1814,3046,671,887,1565,1977,9926,1089,1723,907,76,199,569,0.0481,0.0807,0.0178,0,5921,1,0,635,221,413,5,1199,0.3241,0.0008,0.0008,0.4593,0.0,0.0041,0.0002,0,0,0,0.0,0.0,0.0515,0.0162,0.0328,1.0
Benign,0,1,79,15,9,41,Benign_T015_rep09_150749,/mnt/d/Patrick/VMSnapshots/Datasets/Benign_20260409_121408/T015_rep09,111,57,13.14,0,1,3,0,0,0,4.58,38,6,114,3,111,111,3,142.82,1123,0,0,10,1,0,0,2477,585,25.28,2917,137.67,1634.0,3.18,4,41,37,98,7,272,23,47,23,0,7.77,140,1,1,20423,6450,19,108,189.1,3281,0.0,0.0,0.0,107,9615,4,15,8,0,0,4,4,0,6,1.33,2,0,35384,459.53,1833,2360,664,954,1856,1775,9630,1084,1832,715,65,184,392,0.0518,0.0667,0.0188,0,4957,0,0,,,,,1196,0.3158,0.0009,0.0007,0.4708,0.0,0.0037,0.0,0,0,0,0.0,0.0,0.0901,0.0166,0.0396,0.0
Benign,0,1,79,15,10,46,Benign_T015_rep10_152904,/mnt/d/Patrick/VMSnapshots/Datasets/Benign_20260409_121408/T015_rep10,111,56,13.67,0,1,3,0,0,0,5.0,37,6,113,2,111,111,1,68.81,430,0,0,3,0,0,0,2539,577,51.82,2853,290.2,1640.0,5.51,5,47,38,108,7,747,71,96,71,0,21.34,198,1,1,20622,6672,19,108,190.94,2971,0.0,0.0,0.0,107,9445,4,15,36,0,7,11,11,0,14,2.57,7,1,34887,477.9,1775,2202,705,925,1835,1816,9248,979,1836,700,63,181,588,0.0509,0.0631,0.0202,0,4912,0,0,607,212,394,5,1150,0.3235,0.0009,0.0007,0.458,0.0,0.0013,0.0,0,0,0,0.0,0.0,0.027,0.0185,0.0425,0.1944
