family,stage_hint,behavior_stage,actual_offset_s,target_offset_s,rep,run,snap_name,snap_dir,pslist_count,pslist_unique_names,pslist_avg_threads,pslist_wow64_count,pslist_exited_count,pslist_ransom_procs,pslist_wannacry_procs,pslist_avg_children,pslist_max_children,pslist_parent_missing_count,psscan_count,hidden_process_count,cmdline_count,cmdline_with_args,cmdline_suspicious_count,cmdline_avg_length,cmdline_max_length,cmdline_unusual_dir_count,cmdline_script_tool_count,dlllist_total,dlllist_unique_dlls,dlllist_avg_per_process,dlllist_non_system,dlllist_avg_load_total_per_process,dlllist_max_load_total_per_process,dlllist_avg_max_loadcount_per_process,dlllist_unusual_path_pid_count,dlllist_unusual_path_hit_count,dlllist_crypto_pid_count,dlllist_crypto_hit_count,dlllist_crypto_dlls,ldrmodules_total,ldrmodules_not_in_load,ldrmodules_not_in_init,ldrmodules_not_in_mem,ldrmodules_hidden_count,ldrmodules_avg_per_process,ldrmodules_max_per_process,ldrmodules_suspicious_path_pid_count,ldrmodules_suspicious_path_hit_count,vad_total,vad_exec_count,vad_private_exec,vad_pid_count,vad_avg_regions_per_process,vad_max_regions_per_process,vad_avg_total_mem_per_process,vad_max_total_mem_per_process,vad_avg_max_region_size_per_process,vad_private_pid_count,vad_private_region_count,vad_rwx_pid_count,vad_rwx_region_count,malfind_count,malfind_mz_regions,malfind_rwx_region_count,malfind_private,malfind_private_exec,malfind_shellcode_regions,malfind_pid_count,malfind_avg_regions_per_process,malfind_max_regions_per_process,malfind_rwx_pid_count,handle_total,handle_avg_per_process,handle_file_count,handle_registry_count,handle_mutex_count,handle_process_count,handle_thread_count,handle_port_count,handle_event_count,handle_section_count,handle_semaphore_count,handle_timer_count,handle_desktop_count,handle_directory_count,handle_token_count,handle_file_ratio,handle_registry_ratio,handle_mutex_ratio,handle_encrypted_files,handle_wncryt_count,handle_eky_count,handle_fun_count,filescan_total,filescan_encrypted,filescan_ransom_notes,filescan_wncryt,filescan_fun,filescan_jigsaw_notes,priv_total_enabled,netstat_total,netstat_established,netstat_listening,netstat_unique_ips,netstat_outbound_count,netstat_smb_connections,netstat_established_ratio,netstat_outbound_ratio,vad_exec_ratio,vad_priv_exec_ratio,vad_rwx_ratio,vad_private_ratio,ldrmodules_suspicious_path_ratio,filescan_encrypted_ratio,cmdline_unusual_dir_ratio,dlllist_unusual_path_ratio,dlllist_crypto_ratio,malfind_rwx_ratio
Benign,0,0,78,5,1,1,Benign_T005_rep01_032406,/mnt/d/Patrick/VMSnapshots/Datasets/Benign_20260413_032217/T005_rep01,95,53,13.55,2,3,0,0,4.48,37,6,104,9,95,95,1,71.81,1037,5,0,3993,830,62.39,4452,349.98,1646.0,5.72,5,62,57,125,7,272,25,37,25,0,8.77,62,1,1,17393,5799,15,92,189.05,2485,0.0,0.0,0.0,91,7729,4,15,3,0,3,3,3,0,3,1.0,1,3,38964,512.68,1782,3127,707,878,1755,2085,10003,1190,1756,922,76,195,544,0.0457,0.0803,0.0181,0,0,0,0,5678,1,0,0,0,0,1131,40,0,28,1,10,0,0.0,0.25,0.3334,0.0009,0.0009,0.4444,0.0037,0.0002,0.0526,0.0155,0.0313,1.0
Benign,0,0,78,5,2,6,Benign_T005_rep02_034317,/mnt/d/Patrick/VMSnapshots/Datasets/Benign_20260413_032217/T005_rep02,112,58,13.39,1,3,0,0,4.62,38,6,114,2,112,112,3,144.64,1123,10,1,3123,661,30.32,3616,165.3,1634.0,4.14,3,46,47,126,7,536,79,113,79,0,9.93,191,1,1,21026,6506,20,109,192.9,3426,0.0,0.0,0.0,108,10037,4,15,16,0,0,5,5,0,10,1.6,4,0,39674,466.75,1975,2694,716,966,2082,1961,10844,1185,1963,902,74,207,399,0.0498,0.0679,0.018,0,0,0,0,5151,1,0,0,0,0,1227,44,4,28,2,14,0,0.0909,0.3182,0.3094,0.001,0.0007,0.4774,0.0019,0.0002,0.0893,0.0147,0.0403,0.0
Benign,0,0,78,5,3,11,Benign_T005_rep03_040139,/mnt/d/Patrick/VMSnapshots/Datasets/Benign_20260413_032217/T005_rep03,95,52,12.64,1,3,0,0,4.7,38,5,108,13,95,95,1,72.65,1037,5,0,4725,895,63.85,5124,353.11,1634.0,5.84,8,75,65,151,7,342,32,51,32,0,14.25,137,2,3,17296,5753,15,92,188.0,2360,0.0,0.0,0.0,91,7746,4,15,4,0,4,4,4,0,3,1.33,2,3,38955,505.91,1825,3299,777,879,1604,2030,10127,1219,1755,903,75,196,670,0.0468,0.0847,0.0199,0,0,0,0,5944,1,0,0,0,0,1132,40,0,28,1,10,0,0.0,0.25,0.3326,0.0009,0.0009,0.4478,0.0088,0.0002,0.0526,0.0159,0.032,1.0
Benign,0,0,78,5,4,16,Benign_T005_rep04_042022,/mnt/d/Patrick/VMSnapshots/Datasets/Benign_20260413_032217/T005_rep04,99,54,12.83,2,3,0,0,4.67,39,6,108,9,99,99,1,73.17,1037,5,0,4662,874,60.55,5179,337.71,1640.0,5.84,7,75,67,157,7,426,42,62,42,0,13.74,137,2,3,17935,6015,15,96,186.82,2400,0.0,0.0,0.0,95,7953,4,15,3,0,3,3,3,0,3,1.0,1,3,39864,492.15,1852,3295,771,906,1676,2106,10406,1227,1783,927,77,204,593,0.0465,0.0827,0.0193,0,0,0,0,6025,1,0,0,0,0,1149,40,0,28,1,10,0,0.0,0.25,0.3354,0.0008,0.0008,0.4434,0.007,0.0002,0.0505,0.0161,0.0337,1.0
Benign,0,0,78,5,5,21,Benign_T005_rep05_043912,/mnt/d/Patrick/VMSnapshots/Datasets/Benign_20260413_032217/T005_rep05,106,54,13.34,1,3,0,0,4.77,38,6,109,3,106,106,1,60.9,985,5,0,2788,614,48.07,3480,297.97,1634.0,5.38,5,44,49,118,7,178,36,53,36,0,6.14,39,0,0,20321,6254,18,103,197.29,3506,0.0,0.0,0.0,102,9864,4,15,12,0,0,3,3,0,9,1.33,4,0,36029,486.88,1811,2154,673,940,1898,1865,9864,994,1869,796,67,179,399,0.0503,0.0598,0.0187,0,0,0,0,4685,1,0,0,0,0,1179,44,4,28,2,14,0,0.0909,0.3182,0.3078,0.0009,0.0007,0.4854,0.0,0.0002,0.0472,0.0158,0.0423,0.0
Benign,0,0,78,10,1,2,Benign_T010_rep01_032752,/mnt/d/Patrick/VMSnapshots/Datasets/Benign_20260413_032217/T010_rep01,95,52,13.04,1,3,0,0,4.7,38,5,107,12,95,95,2,113.76,1123,8,0,4480,870,51.49,5050,291.15,1640.0,5.31,5,71,63,143,7,403,39,64,39,0,10.89,106,1,1,17433,5763,15,92,189.49,2344,0.0,0.0,0.0,91,7801,4,15,3,0,3,3,3,0,3,1.0,1,3,37867,498.25,1773,3034,649,876,1601,2022,10012,1130,1706,911,74,192,538,0.0468,0.0801,0.0171,0,0,0,0,5928,1,0,0,0,0,1112,40,0,28,1,10,0,0.0,0.25,0.3306,0.0009,0.0009,0.4475,0.0025,0.0002,0.0842,0.0158,0.0319,1.0
Benign,0,0,80,10,2,7,Benign_T010_rep02_034706,/mnt/d/Patrick/VMSnapshots/Datasets/Benign_20260413_032217/T010_rep02,110,55,13.7,1,3,0,0,4.74,38,5,112,2,110,110,1,60.28,985,5,0,2828,617,48.76,3427,292.14,1634.0,5.38,4,43,49,128,7,503,48,62,48,0,14.37,148,1,1,21395,6561,20,107,199.95,3685,0.0,0.0,0.0,106,10350,4,15,16,0,0,5,5,0,9,1.78,3,0,38468,486.94,1950,2569,731,960,2048,1935,10484,1138,1977,842,71,190,384,0.0507,0.0668,0.019,0,0,0,0,4785,0,0,0,0,0,1165,44,4,28,2,14,0,0.0909,0.3182,0.3067,0.0009,0.0007,0.4838,0.002,0.0,0.0455,0.0152,0.0453,0.0
Benign,0,0,78,10,3,12,Benign_T010_rep03_040516,/mnt/d/Patrick/VMSnapshots/Datasets/Benign_20260413_032217/T010_rep03,107,56,13.06,1,3,0,0,4.61,37,6,110,3,107,107,3,136.17,1123,9,1,2052,459,22.3,2340,111.52,1277.0,3.78,3,41,33,85,7,678,67,89,67,0,17.38,145,1,1,20037,6269,18,104,192.66,3065,0.0,0.0,0.0,103,9481,4,15,25,0,2,5,5,0,12,2.08,4,1,26627,459.09,1422,1243,494,802,1495,1502,7287,649,1574,582,49,142,306,0.0534,0.0467,0.0186,0,0,0,0,4569,0,0,0,0,0,1219,44,4,28,2,14,0,0.0909,0.3182,0.3129,0.0009,0.0007,0.4732,0.0015,0.0,0.0841,0.02,0.0414,0.08
Benign,0,0,78,10,4,17,Benign_T010_rep04_042410,/mnt/d/Patrick/VMSnapshots/Datasets/Benign_20260413_032217/T010_rep04,95,53,13.13,1,3,0,0,4.7,37,4,107,12,95,95,2,113.45,1123,8,0,4822,893,55.43,5206,302.07,1640.0,5.45,7,73,67,151,7,369,29,56,29,0,11.53,106,1,1,16997,5719,15,92,184.75,2292,0.0,0.0,0.0,91,7460,4,15,4,0,4,4,4,0,3,1.33,2,3,39498,499.97,1789,3314,684,877,1695,2083,10363,1244,1739,934,77,201,664,0.0453,0.0839,0.0173,0,0,0,0,5911,1,0,0,0,0,1131,40,0,28,1,10,0,0.0,0.25,0.3365,0.0009,0.0009,0.4389,0.0027,0.0002,0.0842,0.0151,0.0313,1.0
Benign,0,0,78,10,5,22,Benign_T010_rep05_044300,/mnt/d/Patrick/VMSnapshots/Datasets/Benign_20260413_032217/T010_rep05,97,54,12.76,1,3,0,0,4.57,37,5,107,10,97,97,2,74.35,1037,5,1,4857,886,63.08,5235,347.18,1640.0,5.84,8,75,67,155,7,364,25,43,25,0,14.0,106,1,1,17272,5838,15,94,183.74,2299,0.0,0.0,0.0,93,7557,4,15,4,0,4,4,4,0,3,1.33,2,3,39964,499.55,1827,3368,685,888,1677,2101,10422,1268,1772,936,78,199,663,0.0457,0.0843,0.0171,0,0,0,0,5961,1,0,0,0,0,1160,40,0,28,1,10,0,0.0,0.25,0.338,0.0009,0.0009,0.4375,0.0027,0.0002,0.0515,0.0154,0.0319,1.0
